type,malecns,fafb,banc,male_specific_annotated_cells,malecns_fruDsx,evidence
5th-LNv,0,2,0,0,,female name unmatched in MaleCNS; sex specificity unestablished
AC_neuron,0,4,3,0,,female name unmatched in MaleCNS; sex specificity unestablished
ADNM1,0,0,2,0,,female name unmatched in MaleCNS; sex specificity unestablished
ADNM2,0,0,2,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN03A008,2,0,0,2,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AN05B023,0,0,6,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN05B047,0,0,1,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN05B049,0,0,6,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN05B050,0,0,6,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN05B054,0,0,6,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN05B094,0,0,2,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN05B102,0,0,4,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN05B999,0,0,2,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN06B999,0,0,2,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN07B037,0,0,6,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN07B046,0,0,8,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN07B051,0,0,1,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN07B069,0,0,10,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN07B071,0,0,16,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN07B072,0,0,23,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN07B078,0,0,4,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN07B082,0,0,15,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN07B095,0,0,1,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN07B101,0,0,4,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN08B059,5,0,2,5,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AN08B071,0,0,6,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN08B079,0,0,9,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN08B099,0,0,21,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN08B998,0,0,2,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN09B001,0,0,3,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN09B017a,2,0,0,2,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AN09B017b,2,0,0,2,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AN09B017c,2,0,0,2,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AN09B017d,2,0,0,2,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AN09B017e,2,0,0,2,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AN09B017f,2,0,0,2,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AN09B017g,2,0,0,2,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AN10B049,0,0,4,0,,female name unmatched in MaleCNS; sex specificity unestablished
AN10B051,0,0,4,0,,female name unmatched in MaleCNS; sex specificity unestablished
