arm,env_seed,neural_seed,gpu,feeding_s,fed_at_least_1s,first_feed_s,final_energy,airborne_s,min_fruit_distance_m,mean_abs_goal_offset_deg,first_feed_censored,mean_orn_rate_L,mean_orn_rate_R,mean_DNa02_L,mean_DNa02_R,mean_target_DNa02_difference,mean_PFL3_input_difference,mean_bilateral,mean_orn_difference_hz,temporal_sd_orn_difference_hz,mean_DNa02_difference_hz,mean_abs_tracking_error_hz,mean_physical_contrast,temporal_sd_filtered_contrast
full,0,31,4,14.559999999999734,True,13.07,0.7998098148701863,0.2700000000000001,-0.07217821737172776,18.110533495189436,False,5.920086927811305,5.9094984237353,0.0,0.6578841658279433,-0.6596579034253955,-3.7052265783647695,0.0007776555478267255,0.010588504076004028,0.26528564764656715,-0.6578841658279433,0.5146024113520656,0.0007730481710083871,0.001881349483663186
full,1,32,5,14.999999999999725,True,23.240000000000002,0.8491541424349933,0.26000000000000006,-0.005224282938030273,22.213716202674412,False,5.672148238817851,5.629846268892289,0.056803986744415565,0.2639108448058156,-0.14835741490125656,-1.407668985615795,0.003311716295517423,0.04230196992556254,0.2613359552804216,-0.2071068580614,0.47576171518778126,0.003354506114253483,0.011133733349802246
full,2,33,7,14.999999999999725,True,24.09,0.8551045140740742,1.290000000000001,-0.01646736414633536,22.427761515316988,False,5.251338982482751,5.232955953677496,0.06356277528134789,1.2983499972564796,-1.2281891581167776,-6.913978498801589,0.0028568067633811247,0.01838302880525589,0.30135079779945445,-1.234787221975132,1.1692821719548552,0.0024427354909592964,0.019633934947827066
full,3,34,5,14.999999999999725,True,28.96,0.8757966869393146,0.0,0.007355600440078429,26.71663237695444,False,7.509833965301514,7.486226663986842,0.6815632225567698,0.8093257217392755,-0.10919081554127236,0.24103428582350414,0.0016236339447967415,0.023607301314671834,0.30699241963986995,-0.1277624991825057,1.3190280739763205,0.0015919995602577662,0.003308459909753822
full,4,35,6,14.28999999999974,True,9.93,0.7844080515579872,0.5900000000000003,-0.007356978723938999,36.80293700292385,False,5.748226583401362,5.708669093847274,0.5250586018307332,0.12780693199666082,0.404045460584263,1.9818835750222206,0.0034253338186722242,0.03955748955408732,0.2693599656736599,0.39725166983407245,0.6009056827383688,0.0032832784043171164,0.011124778736514738
full,5,36,4,14.999999999999725,True,29.63,0.8791835542598385,0.24000000000000007,-0.004901895334380011,20.772616850567744,False,4.777035240332285,4.775152300794919,0.16224581816077827,0.46673592851015777,-0.2918291952647269,-1.8935501974821092,-0.0035252699280661185,0.0018829395373662313,0.24395059360563012,-0.30449011034937956,0.7469236177317515,-0.0034533492434014462,0.01072856666757059
transduced,0,31,5,0.0,False,,0.0,1.350000000000001,0.039402441648772185,63.31799269798044,True,1.6286214206616083,1.6302858701348304,1.5093998387003564,1.271317799201138,0.2757383236847818,1.2550655123094718,0.00029506790234412015,-0.0016644494732220968,0.1443322814407451,0.23808203949921874,3.845765139963525,0.00013035649334848032,0.024252955349098777
transduced,1,32,7,0.0,False,,0.0,1.0400000000000007,0.18937604059300037,62.97219129271581,True,1.5577895680069924,1.5455780492226283,1.7276772045017188,0.897937917827727,0.7042081953779173,2.0287388529380164,0.003622541175695915,0.012211518784364064,0.13635430836551732,0.8297392866739921,3.957143441826662,-0.00047819479489934213,0.023024871240421987
transduced,2,33,4,0.0,False,,0.0,1.0700000000000007,0.05686246200892812,67.50205758218215,True,1.6249688657124837,1.6324902271231017,0.914359257529107,1.0486746063688814,-0.1712060526261727,-1.6181742817163467,-0.003016712701052408,-0.007521361410617829,0.1476633787227069,-0.13431534883977467,3.660676324730821,-0.0005514207754564995,0.026540765657955604
transduced,3,34,6,0.12999999999999998,False,31.490000000000002,0.0,0.3200000000000001,-0.011301960943116956,52.72853722993455,False,5.475301056106885,5.460541406273842,3.1541429686541522,2.2908899875634092,0.7643874570168555,2.0047043135762213,0.0014646842222875496,0.014759649833043417,0.2572393731473832,0.8632529810907428,5.608248247015407,0.0009454702884087365,0.013416516154365817
