bodyId,type,side,seed_bodyId,hex1,hex2,hex_source,seed_displaced_for_injectivity,seed_assignment_distance
720575941353808176,Mi1,R,720575941353808176,17,10,connectivity_candidate,True,0.593060619
720575941353990960,Mi1,R,720575941353990960,2,3,connectivity_candidate,False,0.033322301
720575941391433732,Mi1,R,720575941391433732,-7,-2,connectivity_candidate,False,0.0442874685
720575941391584150,Mi1,R,720575941391584150,-1,13,connectivity_candidate,False,0.0349117215
720575941393983236,Mi1,R,720575941393983236,11,9,connectivity_candidate,False,0.0320279013
720575941394040836,Mi1,R,720575941394040836,-1,-13,connectivity_candidate,False,0.1396439
720575941394657174,Mi1,R,720575941394657174,-1,8,connectivity_candidate,False,0.0269141236
720575941394870422,Mi1,R,720575941394870422,-7,-16,connectivity_candidate,True,0.832873548
720575941400313891,Mi1,R,720575941400313891,4,16,connectivity_candidate,True,0.821653428
720575941400314659,Mi1,R,720575941400314659,1,12,connectivity_candidate,False,0.0357516645
720575941403028515,Mi1,R,720575941403028515,17,7,connectivity_candidate,True,0.979470853
720575941403213936,Mi1,R,720575941403213936,0,16,connectivity_candidate,True,0.897806734
720575941403214115,Mi1,R,720575941403214115,-3,1,connectivity_candidate,False,0.0342128483
720575941405961584,Mi1,R,720575941405961584,-5,-11,connectivity_candidate,False,0.0266858973
720575941406001008,Mi1,R,720575941406001008,12,10,connectivity_candidate,False,0.0327072339
720575941406691375,Mi1,R,720575941406691375,-9,8,connectivity_candidate,False,0.612934469
720575941408270383,Mi1,R,720575941408270383,-10,-5,connectivity_candidate,False,0.0517747626
720575941409478447,Mi1,R,720575941409478447,-3,-16,connectivity_candidate,False,0.23889945
720575941409603243,Mi1,R,720575941409603243,-9,-6,connectivity_candidate,False,0.0479111255
720575941409612715,Mi1,R,720575941409612715,-11,-5,connectivity_candidate,False,0.0597508149
720575941409700526,Mi1,R,720575941409700526,11,13,connectivity_candidate,False,0.0301362066
720575941409703598,Mi1,R,720575941409703598,6,12,connectivity_candidate,False,0.0318443698
720575941409775022,Mi1,R,720575941409775022,-13,-6,connectivity_candidate,False,0.21964102
720575941410156591,Mi1,R,720575941410156591,16,6,connectivity_candidate,False,0.0310300974
