# Davis et al. 2020 eLife 9:e50901, GEO GSE116969 (Davis FP, Nern A, Picard S, Reiser MB, Rubin GM, Eddy SR, Henry GL; CC-BY 4.0). One row per Davis cell type (source_name as in GSE116969_dataTable4 / 7b column headers and supp. file 1A 'celltype'). <gene>_tpm = TPM, cell-type mean over QC-pass samples (GSE116969_dataTable4.genes_x_cells_TPM.coding_genes_QCpass; TAPIN-seq / INTACT nuclear RNA, ENSEMBL r91 / FlyBase 2017_04 gene models); for qc = suboptimal_only the mean of that driver's QC-fail samples in dataTable3 (use with caution). <gene>_p_on = probability the gene is in the 'on' component of Davis's per-gene bimodal mixture model (dataTable7b); NaN if the gene was not modeled (< 10 TPM in every sample) or the cell has no QC-pass sample. 54 panel genes; symbols follow the task list; source symbols differ for KaiR1D (= CG3822, FBgn0038837; round 1 wrongly used CG8916 = FBgn0030707 / Lcch-14A) and Octalpha2R (= CG18208, FBgn0038653). davis_nt_call: the transmitter class whose marker pair (ChAT+VAChT, Gad1+VGAT, VGlut, Hdc, ple+DAT, Tdc2+Tbh, Trh+SerT) has the largest pair-minimum TPM, if >= 10 TPM ('none' otherwise); davis_nt_secondary: further classes with pair-minimum >= 50 TPM; davis_nt_scores_top3 lists the values. This is a data summary, not a sign decision. Built by scripts/build_davis2020_tables.py.
source_name,qc,n_samples_pass,n_samples_suboptimal,ChAT_tpm,VAChT_tpm,Gad1_tpm,VGAT_tpm,VGlut_tpm,Hdc_tpm,ple_tpm,DAT_tpm,Tdc2_tpm,Tbh_tpm,Trh_tpm,SerT_tpm,nAChRalpha1_tpm,nAChRalpha2_tpm,nAChRalpha3_tpm,nAChRalpha4_tpm,nAChRalpha5_tpm,nAChRalpha6_tpm,nAChRalpha7_tpm,nAChRbeta1_tpm,nAChRbeta2_tpm,nAChRbeta3_tpm,Rdl_tpm,Lcch3_tpm,Grd_tpm,GluClalpha_tpm,KaiR1D_tpm,GluRIA_tpm,GluRIB_tpm,Nmdar1_tpm,Nmdar2_tpm,HisCl1_tpm,ort_tpm,mAChR-A_tpm,mAChR-B_tpm,mAChR-C_tpm,GABA-B-R1_tpm,GABA-B-R2_tpm,GABA-B-R3_tpm,mGluR_tpm,Dop1R1_tpm,Dop1R2_tpm,Dop2R_tpm,DopEcR_tpm,Oamb_tpm,Octbeta1R_tpm,Octbeta2R_tpm,Octbeta3R_tpm,Octalpha2R_tpm,5-HT1A_tpm,5-HT1B_tpm,5-HT2A_tpm,5-HT2B_tpm,5-HT7_tpm,ChAT_p_on,VAChT_p_on,Gad1_p_on,VGAT_p_on,VGlut_p_on,Hdc_p_on,ple_p_on,DAT_p_on,Tdc2_p_on,Tbh_p_on,Trh_p_on,SerT_p_on,nAChRalpha1_p_on,nAChRalpha2_p_on,nAChRalpha3_p_on,nAChRalpha4_p_on,nAChRalpha5_p_on,nAChRalpha6_p_on,nAChRalpha7_p_on,nAChRbeta1_p_on,nAChRbeta2_p_on,nAChRbeta3_p_on,Rdl_p_on,Lcch3_p_on,Grd_p_on,GluClalpha_p_on,KaiR1D_p_on,GluRIA_p_on,GluRIB_p_on,Nmdar1_p_on,Nmdar2_p_on,HisCl1_p_on,ort_p_on,mAChR-A_p_on,mAChR-B_p_on,mAChR-C_p_on,GABA-B-R1_p_on,GABA-B-R2_p_on,GABA-B-R3_p_on,mGluR_p_on,Dop1R1_p_on,Dop1R2_p_on,Dop2R_p_on,DopEcR_p_on,Oamb_p_on,Octbeta1R_p_on,Octbeta2R_p_on,Octbeta3R_p_on,Octalpha2R_p_on,5-HT1A_p_on,5-HT1B_p_on,5-HT2A_p_on,5-HT2B_p_on,5-HT7_p_on,davis_nt_call,davis_nt_secondary,davis_nt_scores_top3
C2,pass,2,0,6.24,12.6,1507.03,436.97,4.5,2.56,7.67,3.68,7.26,6.03,37.96,1.47,169.73,46.69,50.33,183.22,550.71,57.16,1002.38,428.12,100.32,2.83,1022.86,130.33,3.29,1630.31,48.55,33.31,122.0,23.13,234.92,8.21,11.69,166.93,5.11,7.18,76.69,45.24,134.62,13.41,3.74,9.47,137.97,1244.27,24.83,427.93,266.31,14.42,289.11,96.2,31.52,16.63,15.09,186.67,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,1.0,1.0,0.95,1.0,1.0,0.0,1.0,0.77,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.88,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.99,0.0,1.0,0.0,0.99,1.0,0.64,1.0,1.0,0.22,1.0,1.0,0.99,0.06,0.09,1.0,gaba,,gaba=437;acetylcholine=6;octopamine=6
C2.C3,pass,2,0,3.57,7.44,1754.18,451.77,8.19,1.54,3.29,0.75,7.65,10.07,11.51,0.53,93.31,48.55,132.09,274.39,469.36,18.68,770.45,618.59,130.6,0.0,874.19,181.8,4.21,612.45,65.62,120.26,151.86,12.86,142.95,22.95,33.02,96.26,2.57,6.65,203.64,76.91,91.7,26.57,2.81,4.73,59.36,2133.45,20.97,1737.19,273.33,31.09,126.88,69.99,29.54,54.0,6.92,110.32,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.99,1.0,1.0,1.0,1.0,0.0,1.0,0.98,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.27,1.0,0.0,0.47,1.0,0.0,1.0,1.0,1.0,0.94,0.0,1.0,0.0,0.51,1.0,0.42,1.0,1.0,0.99,0.99,1.0,0.99,0.98,0.0,1.0,gaba,,gaba=452;glutamate=8;octopamine=8
C3,pass,2,0,2.76,6.46,2146.28,559.58,4.03,0.89,1.03,0.55,6.26,10.69,1.74,0.42,32.0,34.69,227.86,318.11,740.18,9.0,773.0,1024.83,159.45,0.0,984.2,203.28,0.6,703.07,66.37,136.69,130.98,7.21,133.58,29.29,11.3,172.63,0.94,8.8,258.24,103.97,13.67,43.01,1.2,5.14,74.9,2530.37,31.53,2352.44,300.53,45.7,33.5,10.39,25.09,87.87,2.25,99.55,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.95,0.01,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.02,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.01,0.0,1.0,0.0,0.81,1.0,0.85,1.0,1.0,1.0,0.01,0.0,0.98,1.0,0.0,1.0,gaba,,gaba=560;octopamine=6;glutamate=4
ChAT,pass,2,0,156.41,988.27,95.3,287.39,56.68,3.4,6.18,8.94,8.8,38.35,1.78,2.03,418.94,71.66,201.89,578.32,1664.84,3570.18,1859.5,5292.6,169.94,0.0,4124.07,79.98,31.24,2503.5,40.42,34.75,76.36,60.52,467.76,18.39,23.63,276.29,58.63,6.09,370.17,57.12,313.13,266.02,362.84,60.28,225.79,6637.7,90.6,262.7,499.64,118.49,200.65,120.99,92.05,63.33,49.69,86.67,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.97,0.82,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.92,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,1.0,acetylcholine,gaba+glutamate,acetylcholine=156;gaba=95;glutamate=57
Crz,pass,2,0,17.48,39.4,45.82,243.36,13.53,3.49,11.16,3.49,5.52,6.55,8.55,0.59,25.13,14.16,21.64,399.15,1781.61,183.6,13912.54,2135.86,163.07,0.0,11117.77,201.38,0.65,169.98,30.25,8.41,18.24,68.62,253.24,4.15,383.22,49.19,4.18,3.65,407.49,118.26,11.06,44.33,21.0,8.82,18.61,389.67,7.37,13.11,8524.71,6.59,15.91,1025.59,544.94,8.26,4.16,6.61,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.92,0.0,1.0,1.0,0.1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.06,1.0,0.04,0.22,1.0,1.0,0.0,1.0,0.03,0.0,0.98,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,gaba,,gaba=46;acetylcholine=17;glutamate=14
Dm1,pass,2,0,32.79,58.77,23.7,168.07,1137.55,4.86,32.74,2.56,10.66,4.29,3.58,3.33,470.65,146.44,49.55,293.07,1493.25,4568.66,2900.17,1812.45,100.42,0.0,2245.79,93.86,1.86,1886.27,51.75,41.35,33.77,6.27,397.75,226.17,2.93,348.35,3.63,17.71,79.52,60.01,36.58,48.33,11.25,2.4,783.23,5405.79,17.63,496.5,407.5,46.45,43.46,85.22,105.19,693.02,3.05,214.42,0.48,0.0,0.0,1.0,1.0,0.0,0.04,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.99,0.01,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.23,0.0,1.0,0.0,1.0,1.0,0.24,1.0,1.0,1.0,0.04,1.0,1.0,1.0,0.0,1.0,glutamate,,glutamate=1138;acetylcholine=33;gaba=24
Dm10,pass,2,0,1.51,4.05,2041.31,344.79,4.72,0.69,2.46,0.08,7.53,7.04,3.01,0.34,52.78,23.78,187.7,265.19,2167.13,2755.26,938.98,1334.41,106.27,0.0,2948.51,164.5,58.36,953.31,75.34,98.87,121.14,37.06,825.25,35.06,10.65,320.59,9.07,2.75,82.55,72.79,51.37,8.18,5.84,99.73,16.15,3198.45,1.61,5.33,196.99,35.55,300.96,345.95,572.8,97.84,4.17,178.16,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.0,0.0,1.0,0.0,0.84,1.0,1.0,0.58,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,gaba,,gaba=345;octopamine=7;glutamate=5
Dm11,pass,2,0,24.2,39.1,13.75,187.04,1346.02,1.22,14.41,0.87,8.22,109.5,2.53,1.06,168.51,117.06,227.34,482.24,501.45,606.68,613.01,2893.48,124.1,0.0,329.82,153.29,300.36,487.07,88.05,4.21,5.55,73.31,288.01,22.0,210.25,409.79,10.4,7.48,161.21,100.33,69.06,18.86,12.89,7.67,27.32,3144.63,23.51,30.16,224.96,22.05,84.25,8.34,11.79,44.9,3.31,8.07,0.01,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.99,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.81,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.83,0.0,1.0,0.0,0.01,1.0,0.57,0.01,1.0,0.88,0.85,0.0,0.72,0.95,0.0,0.0,glutamate,,glutamate=1346;acetylcholine=24;gaba=14
Dm12,pass,3,1,14.67,38.52,18.37,244.19,1181.66,7.49,21.81,3.21,5.36,9.38,2.88,4.2,32.97,24.19,208.16,521.06,774.05,993.17,1526.4,2693.35,89.78,2.5,4018.06,132.6,7.9,1208.24,50.2,69.0,95.42,30.34,299.69,22.41,1.54,306.84,8.11,3.91,742.98,70.71,64.18,38.66,203.51,211.97,513.74,2664.09,268.62,25.4,67.96,17.22,811.48,173.86,85.32,126.55,7.24,329.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.99,1.0,0.0,0.0,1.0,0.0,0.79,1.0,1.0,0.85,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.03,0.02,1.0,1.0,1.0,1.0,0.0,1.0,glutamate,,glutamate=1182;gaba=18;acetylcholine=15
Dm3,pass,2,0,1.13,10.5,7.02,137.39,1270.09,1.22,10.25,1.16,5.83,5.09,7.17,1.05,1854.22,142.41,147.1,294.49,1437.95,420.45,665.3,1136.15,160.98,0.0,2474.36,86.38,0.91,1652.84,50.46,44.47,78.45,7.58,187.09,20.52,8.91,242.7,137.51,0.68,163.2,13.53,353.14,471.03,6.06,7.48,63.36,12716.24,6.72,219.79,381.96,117.87,757.1,20.03,46.57,106.5,1.59,5.33,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.89,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.03,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.6,1.0,1.0,1.0,0.0,0.6,1.0,0.0,1.0,1.0,1.0,1.0,0.17,1.0,1.0,0.0,0.0,glutamate,,glutamate=1270;gaba=7;octopamine=5
