# Özel et al. 2021 Nature 589:88-95 (doi:10.1038/s41586-020-2879-3); GEO GSE142787 (SuperSeries GSE142789).
# Adult timepoint only: 109,743 cells, female Canton-S 1-3 days old (male libraries removed by the authors), 10x v2.
# One row per adult cluster (199 columns of the GEO sheet: 193 final clusters incl. P70/P50 backprojections 221-235).
# Gene symbols are the plan's names; the source build (BDGP6.88) names differ for ChAT (=Cha), KaiR1D (=CG3822),
# Octalpha2R (=CG18208); mAChR-C (CG7918) is absent from the source gene set -> NaN. Built by scripts/build_ozel2021_tables.py.
# UNIT: per-cluster arithmetic mean of Seurat LogNormalize values, ln(1 + UMI / total_UMI * 1e4) per cell
# (sheet Adult_average_expression of GSE142787_Log_normalized_average_expression.xlsx, non-integrated data).
source_name,source_cluster,map_tier,ChAT,VAChT,Gad1,VGAT,VGlut,Hdc,ple,DAT,Tdc2,Tbh,Trh,SerT,nAChRalpha1,nAChRalpha2,nAChRalpha3,nAChRalpha4,nAChRalpha5,nAChRalpha6,nAChRalpha7,nAChRbeta1,nAChRbeta2,nAChRbeta3,Rdl,Lcch3,Grd,GluClalpha,KaiR1D,GluRIA,GluRIB,Nmdar1,Nmdar2,HisCl1,ort,mAChR-A,mAChR-B,mAChR-C,GABA-B-R1,GABA-B-R2,GABA-B-R3,mGluR,Dop1R1,Dop1R2,Dop2R,DopEcR,Oamb,Octbeta1R,Octbeta2R,Octbeta3R,Octalpha2R,5-HT1A,5-HT1B,5-HT2A,5-HT2B,5-HT7
T1,1,exact,0.55929721217291,0.338170131461415,1.12157875502037,0.49442981797289,1.44215679654824,0.00118439278072279,0.117423380210502,0.071534487697769,0.0,0.0216881941484071,0.00223309838021076,0.00739639717447616,0.154422463116221,0.169076236207838,0.340606792748898,0.952074872097275,1.59412625771426,1.23452541490706,3.38497197407011,1.28120004785173,0.862949056812257,0.000259060687813558,3.59583141198355,1.78826945237659,0.0387595034009655,0.432606314236374,0.323618054494361,0.094853723237434,0.309555924993057,0.205871675583189,0.115663074398212,0.0,1.71150627154517,0.146779102401607,0.0223859688912171,,2.5151269002205,0.892906704959093,0.0476260725427965,0.0651346684043046,0.0520409139392632,0.0307851533405636,0.841502060459857,0.689828429173425,0.0524664429030137,0.321321428881323,3.91033503341245,0.336130365342006,0.213132949379615,2.97554062776139,1.65363977405432,0.290400596897309,0.00795204691567484,0.0117107600363634
PR,3,class,0.538874069853298,0.406086790127696,0.561785482224701,0.209021060633335,0.800478646207381,0.501502649188514,0.0567477093540113,0.0824951401923407,0.0,0.0,0.0,0.0,0.0759932519433729,0.137213080712497,0.159005320788098,0.246900677438323,0.258967638675778,0.702873046621309,0.517577576765123,0.432316755993938,0.235210558817534,0.0,1.27245693401828,0.101350369407039,0.0,0.349345735814453,0.0421126535399991,0.201740150154091,0.193697621972857,0.0353248839741676,0.210373661066629,0.68437585632394,0.0,0.131243237825322,0.0,,0.285581316524405,0.0626507114614311,0.0123951114702841,0.121945459890676,0.156155012645278,0.0146397065672585,0.781498646923323,1.75427307005631,0.0320967560096384,0.346040283431307,0.428241060878778,0.104334497274235,0.260116194295303,0.101639118498907,0.156482944003615,0.108438966775191,0.0,0.0
4,4,unmatched,0.37247573386281,0.217430654023967,0.733794561088717,0.483162175371525,4.5756007224985,0.0,0.0,0.0,0.0344795166379155,0.0,0.0,0.0,1.16570898750139,1.66700520324229,2.41409109192822,0.829052690853539,0.92482052933046,5.30138225083402,0.918914842170794,2.50602043336842,1.75252177682848,0.0,3.99639407313805,1.55231880015601,0.0536825047598974,1.53366036334126,0.129973097967925,0.0117640665173253,0.13976829054957,0.785890435029614,0.843242484429046,0.0135305414332603,0.105979922295838,0.980996588630533,1.43828578512405,,1.42604129118804,0.599521422357596,0.00927960335464132,0.0793159274322526,1.04218049289477,0.350230555266756,3.20349417017239,1.62358430274005,0.440579040984713,0.240508629988843,2.30384971464924,1.1034997728435,1.25730000841015,0.141915835683927,0.138126033315175,0.0332989241062839,0.0,0.0
5,5,unmatched,1.16062870375855,1.62706958187244,0.870334228185206,0.358279080418857,1.29865633639599,0.0,0.58390112747916,0.0,0.0,0.0199370672092383,0.0,0.0,2.01566231686674,2.07127921464179,0.628880076580967,0.73457628831441,0.518009336012245,5.18272262436174,1.92745385270903,2.33383181694181,1.57458939716613,0.0,4.14865090490773,0.975511994855336,0.0,2.00642495306974,0.23546947918854,0.114747576397112,0.340113248697131,0.327556037380787,0.152284116051783,0.0,0.16931515049816,0.610356081410264,0.393873904103557,,1.42005705207531,0.555301474049598,0.0,0.101064604355807,0.392551078511309,0.0976120317481547,3.52717013723338,1.8052234557773,0.0,0.228842000514568,1.10382496994015,1.24185352516112,0.845629359510351,0.838182704076099,1.01186402081631,0.15536531886343,0.0983668761196067,0.0
T2,6,exact,1.21386469503411,1.36105624363142,1.19212425154953,0.491794961857337,1.53211744846632,0.0,0.0557787110801079,0.018924259610292,0.00416029355961051,0.311171068781577,0.00943340906440748,0.0151996786036789,0.745265815301129,0.735869235431953,0.525526212669514,0.672673019043171,0.782527080275815,5.32987832713564,1.19521441248166,1.97893657048382,1.11229252843837,0.00257100680015396,3.92300846399223,1.18884391762368,0.027719217416737,1.47104814099111,0.21469675870194,0.133167144469914,0.350637501533129,0.0536717691947725,0.381050259884471,0.0,0.427310917588579,0.323710394410051,0.0475623006488174,,1.3158642879463,0.672310698883792,0.0606456209715422,0.549935833279071,0.0844708653429556,0.0490461576496514,2.52330654322777,1.97509731590592,0.268420669955496,0.469991827547607,1.15331705932196,1.06265242277762,0.915509464316043,0.204484827939121,0.117364550053837,0.408934613282862,0.00648841257931555,0.236252265401266
T3,7,exact,1.73456164059104,1.7663212274216,1.24090774043918,0.52388585006948,1.63845153542615,0.0,0.0443168181266386,0.043037224562799,0.0,0.504238805635856,0.0338200193059606,0.0,0.696984174691383,1.00948488650521,0.476186737839273,0.623400183247214,0.871712210915814,5.29076012287305,1.08680076814991,1.74863096155491,1.05450315867058,0.0,3.28121727754682,1.37994841404983,0.0279425412955257,1.36051817347973,0.249930455307686,0.135065456182302,0.345051539365516,0.138308461881718,0.194844222626823,0.0,0.337760345692975,0.573315507757243,0.0356059687180879,,1.54514588619539,0.688430682845664,0.0723328868813821,0.0702487277780963,0.136689909722356,0.0303132102423526,3.3852434152604,1.67270780522291,0.15800010678411,0.436202051678966,1.53521825999931,1.05889109912174,1.31762129456794,0.776167220085336,0.232194909886869,0.800729469456167,0.0128744057103327,0.0823547399872109
Lawf2,8,exact,2.01801419550558,1.35272536620051,0.930418205687779,0.363101158928401,1.34255065442375,0.0,0.0243507896903863,0.0245566924015958,0.0,0.0,0.0303006051106795,0.0,0.473722992117744,0.703084796985436,1.39169611550925,0.958250668459049,0.888700024884138,2.06957428762827,0.736676568474651,1.72887417118401,1.11842981828089,0.0,2.72631058818169,1.07104440449885,0.0208338890354955,1.03167514806506,0.175810377268679,0.153572668205324,0.42937741847427,0.563918979735201,0.315239050417132,0.0,0.305964166437874,0.726031143174095,0.0223173880527538,,1.04929637353327,0.517900546060615,0.266042993048628,0.0435375365862941,0.116164487963867,0.0494993998118661,0.625237486173641,2.47050891510261,0.434035455718985,0.837430354573137,2.39133630606617,0.722504965617811,0.384830145537363,0.791803104771452,0.317139254522962,0.211644552192387,0.00946509569904297,0.00700860834866803
Dm4,9,exact,0.292278259989419,0.274989450473517,1.02162919825959,0.416954116923272,3.87907181805762,0.0,0.0,0.0562062986601564,0.0,0.0168410851308068,0.0,0.0,0.104152750098583,0.118278788300142,1.50828108549682,0.84439484348074,0.54784950308595,0.940169370441846,1.13383471857853,1.5487462767513,1.41168217698484,0.0,2.4647594538486,2.40869946199284,0.779072585683351,0.896981143798416,0.217221813280964,0.0809438822314554,0.232761291783709,0.0841342598069183,0.331883631292873,0.00999296822266519,0.297361289567063,0.544723229776461,0.048149025356472,,0.377539045751769,0.730871286171601,0.0174191147099602,0.144016213648773,0.0412489302679438,0.0,0.47413516190991,2.31444453714558,0.830488794176336,0.295964916878159,1.98391623384813,1.78791127749023,0.983051293632659,1.627628818596,0.0866532910890132,1.9251219228715,0.0319950996589607,0.00850108152112616
10,10,unmatched,0.474769419150745,0.318731140557776,0.97407713271423,0.464137834376512,3.64501706376398,0.0431681954295662,0.0108683916518195,0.0,0.0,0.0498647548771788,0.032000704860237,0.0,0.540361599939609,0.478951778464164,1.75189440364628,0.799387404057069,0.401275821673648,1.01645490527295,2.70468839918909,1.97652329795968,0.930619628029854,0.0,4.21040983445709,1.11559979143633,0.0478193990556719,1.41804121180854,0.297381046920416,1.30103126666824,1.7348530991847,1.18377872554145,0.229089496309996,0.0121977003004158,0.530523578870799,1.03624262213248,0.294735511169133,,0.978145959939572,0.631278545986793,0.00842771690169187,0.153970975140433,0.0945472737466638,0.490867671688877,0.790646065661416,1.67670427386477,0.181254912165684,1.81986659738628,0.650033148908484,0.941704868411208,1.18428204545443,2.96678570254331,0.88158962541081,0.648530519262898,0.12039129239463,0.112897002694419
11,11,unmatched,0.529495904545603,0.401937255856546,0.799437795013985,0.532566507577198,4.08056495586256,0.0,0.0403012248059291,0.0474573640675531,0.0,0.0,0.0216618096115576,0.0,0.734421758635868,1.04652886350746,1.82989234954871,0.945693676316252,1.78055108676508,3.22903791344934,2.16347217964197,1.5974062164676,1.1580651768771,0.0,3.13729950512193,1.31856359051263,0.373816900788221,1.02874792328146,0.625360035262946,0.284363100994897,0.807096458478077,0.136466658396878,0.280062600434542,0.0,0.167599633411906,0.150887768100046,0.0491021020531277,,2.29115478570859,0.769130283699909,0.161388276943753,0.106890656994556,0.0418582361083322,0.0,2.50039443079192,2.2130739609738,0.0532070732384287,0.305773849597816,1.85853002380926,1.35486558698517,1.01092650109882,0.780284123788234,0.469919254124096,1.59766687535772,0.0,0.0
Dm12,12,exact,0.511311099632098,0.246327729036192,0.927532354756479,0.359270990738629,4.07332874204935,0.0,0.0455473662948392,0.0,0.0,0.0304455626428161,0.00408285318015219,0.00999132080026251,0.132464931036805,0.173302671348794,0.757778718447842,0.819855432850767,1.01545473479833,1.81786829586543,2.38733272175813,1.56194154315576,0.820082803046688,0.0,3.36222972240675,1.6135780689288,0.0138158092665516,0.974653005078256,0.278102683245318,1.26225768284006,1.13597619051038,0.0687404802199073,0.172749400608469,0.0140576532551414,0.266104999443287,0.62698001608018,0.0,,2.32591456484578,0.65089375433885,0.0562643922206171,0.0757265477209405,0.20084375587304,1.38570140858214,2.97877846427151,1.80943994485149,1.12238428422008,0.178615809993381,0.310257724765101,0.311268314968879,1.99071707777559,1.90219217731922,0.351939457508111,0.59945266203161,0.00584674581988935,0.112458817131322
