bodyId,taste
13491,sweet
23209,sweet
33339,sweet
42028,sweet
44816,sweet
50059,sweet
71254,sweet
72047,sweet
72059,sweet
78240,sweet
81228,sweet
85806,sweet
86931,sweet
88607,sweet
92440,sweet
93290,sweet
95462,sweet
97180,sweet
101087,sweet
109574,sweet
120303,sweet
122806,sweet
125405,sweet
128129,sweet
129171,sweet
129802,sweet
130693,sweet
132583,sweet
136183,sweet
136276,sweet
137497,sweet
140015,sweet
140619,sweet
140851,sweet
141663,sweet
142827,sweet
146047,sweet
146880,sweet
152400,sweet
152432,sweet
156079,sweet
156512,sweet
157030,sweet
157131,sweet
158200,sweet
158537,sweet
159466,sweet
159772,sweet
159854,sweet
160114,sweet
160435,sweet
160450,sweet
160475,sweet
161040,sweet
161485,sweet
162773,sweet
163239,sweet
163469,sweet
163597,sweet
164437,sweet
166190,sweet
166316,sweet
166816,sweet
167663,sweet
169896,sweet
170350,sweet
170947,sweet
171047,sweet
173010,sweet
175078,sweet
175572,sweet
178321,sweet
178913,sweet
180314,sweet
181374,sweet
182830,sweet
183009,sweet
183061,sweet
183084,sweet
187492,sweet
187776,sweet
190769,sweet
192172,sweet
199196,sweet
199308,sweet
200001,sweet
201075,sweet
202063,sweet
202888,sweet
203234,sweet
204726,sweet
209155,sweet
209688,sweet
210344,sweet
215556,sweet
223836,sweet
236475,sweet
253648,sweet
261048,sweet
261450,sweet
262567,sweet
272263,sweet
284701,sweet
303314,sweet
312102,sweet
317616,sweet
374701,sweet
426555,sweet
512551,sweet
512552,sweet
512914,sweet
513646,sweet
513647,sweet
515650,sweet
516216,sweet
516217,sweet
516218,sweet
517916,sweet
518542,sweet
529229,sweet
531237,sweet
534896,sweet
538117,sweet
550065,sweet
557646,sweet
901926,sweet
908743,sweet
908747,sweet
916953,sweet
917499,sweet
923024,sweet
933317,sweet
942168,sweet
957530,sweet
104018476,sweet
120770012,sweet
139536760,sweet
147619274,sweet
155143464,sweet
158893964,sweet
174444965,sweet
213650853,sweet
245892505,sweet
274780241,sweet
349137284,sweet
388541892,sweet
422510463,sweet
427340616,sweet
433166791,sweet
456631823,sweet
456838775,sweet
466363045,sweet
475202322,sweet
491986845,sweet
553738738,sweet
581710868,sweet
766547228,sweet
777730219,sweet
786482749,sweet
816904261,sweet
821826349,sweet
884238775,sweet
885642755,sweet
919015263,sweet
934523007,sweet
54104,bitter
59198,bitter
60056,bitter
61311,bitter
73646,bitter
81741,bitter
94719,bitter
104118,bitter
107241,bitter
108865,bitter
111872,bitter
115666,bitter
117741,bitter
123771,bitter
125111,bitter
139178,bitter
144334,bitter
154544,bitter
163395,bitter
179773,bitter
208885,bitter
256844,bitter
516654,bitter
517255,bitter
518112,bitter
522746,bitter
522752,bitter
522753,bitter
522754,bitter
522755,bitter
522761,bitter
522762,bitter
522841,bitter
533618,bitter
534361,bitter
549024,bitter
556797,bitter
557937,bitter
816710,bitter
912379,bitter
923713,bitter
140334446,bitter
304136793,bitter
324178811,bitter
602736959,bitter
772366874,bitter
911389008,bitter
