# MaleCNS v1.0 cell-type aliases across connectomes. Built by scripts/build_type_map_typing.py from: MaleCNS v1.0 body-annotations (flywireType / hemibrainType / mancType / class; CC BY 4.0), Schlegel et al. 2024 Nature doi:10.1038/s41586-024-07686-5 Supplementary Data 1 and 5 (github.com/flyconnectome/flywire_annotations v3.1.0 (commit 8587524, 2026-07-21), 'matching MaleCNS v1.0'; plus the 2024 paper release of SD1 for the old optic names; CC BY 4.0), Nern et al. 2025 Nature doi:10.1038/s41586-025-08746-0 Supplementary Tables 1 and 7 (CC BY 4.0), the MaleCNS Cell Type Explorer synonyms (github.com/reiserlab/celltype-explorer-drosophila-male-cns, 2026-09-09), and Olivera 2026 Neuroinformatics doi:10.1007/s12021-026-09783-4. Tiers: exact | alias | fuzzy | class (rules in the script docstring and docs/audits/receptor_sources_typing.md). Systems: flywire, hemibrain, hemibrain_body, optic_inventory, manc, literature, malecns_class. flag: ';'-joined caveats -- unresolvable (name absent from the source), cb_placeholder, paper_release_only, unmatched, conflict_nern7_vs_malecns[_notation], minority_agreement, merged_list_only, name_only, v3_name_collision (definitions in the script docstring); empty = no caveat. Downstream joins that trust tier 'alias' should drop rows flagged unresolvable / unmatched / conflict_nern7_vs_malecns.
malecns_type,alias,system,tier,flag,evidence
5-HTPLP01,5-HTPLP01,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 4 FlyWire cells); MaleCNS flywireType agrees"
5-HTPLP01,5-HTPLP01,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
5-HTPMPD01,5-HTPMPD01,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
5-HTPMPD01,5-HTPMPD01,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees"
5-HTPMPV01,5-HTPMPV01,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
5-HTPMPV01,5-HTPMPV01,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees"
5-HTPMPV01,5-HTPMPV01,optic_inventory,exact,,"Nern 2025 Supplementary Table 1 row: 1 cells, group VCN, predicted NT unclear"
5-HTPMPV03,5-HTPMPV03,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
5-HTPMPV03,5-HTPMPV03,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees"
5-HTPMPV03,5-HTPMPV03,optic_inventory,exact,,"Nern 2025 Supplementary Table 1 row: 2 cells, group VCN, predicted NT 5HT"
5thsLNv_LNd6,LNd_a,flywire,alias,conflict_nern7_vs_malecns_notation,"MaleCNS v1.0 body-annotations flywireType='s-LNv_a,LNd_a' on 4/4 cells; MaleCNS 1 : FlyWire 2 (merged types)"
5thsLNv_LNd6,s-LNv_a,flywire,alias,conflict_nern7_vs_malecns_notation,"MaleCNS v1.0 body-annotations flywireType='s-LNv_a,LNd_a' on 4/4 cells; MaleCNS 1 : FlyWire 2 (merged types)"
5thsLNv_LNd6,s-LNv,hemibrain,alias,,MaleCNS v1.0 body-annotations hemibrainType='s-LNv' on 4/4 cells
5thsLNv_LNd6,"fru-M-000139,fru-M-100193,fru-M-300008",literature,alias,,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)"
5thsLNv_LNd6,5thsLNv_LNd6,optic_inventory,exact,,"Nern 2025 Supplementary Table 1 row: 2 cells, group VPN, predicted NT ACh"
ADNM1 MN,ADNM1,manc,alias,,MaleCNS v1.0 body-annotations mancType='ADNM1' on 2/2 cells
ADNM2 MN,ADNM2,manc,alias,,MaleCNS v1.0 body-annotations mancType='ADNM2' on 2/2 cells
AL-AST1,AL-AST1,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
AL-AST1,AL-AST1,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees"
AL-AST1,fru-F-300101,literature,alias,,Schlegel 2024 SD1 v3.1.0 synonyms of FlyWire type AL-AST1
AL-AST1,fru-M-700042,literature,alias,,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)"
AL-AST1,ALON,malecns_class,class,,MaleCNS v1.0 body-annotations class on 3/3 cells
AL-MBDL1,AL-MBDL1,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
AL-MBDL1,AL-MBDL1,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
