# Cross-dataset type aliases for MaleCNS v1.0 type names. Built by scripts/build_type_map_nern2025.py.
# system flywire_matsliah2024 / flywire_schlegel2024 / hemibrain: Sup_Table_7 of Nern A, Loesche F, Takemura S-y, et al. (2025) Connectome-driven neural inventory of a complete visual system. Nature 641, 1225-1237. doi:10.1038/s41586-025-08746-0 (CC BY 4.0) (preliminary male optic lobe -> female FlyWire matches;
#       Matsliah = FlyWire optic-lobe names (Matsliah et al. 2024), Schlegel = FlyWire whole-brain names (Schlegel et al. 2024), hemibrain = Scheffer et al. 2020 names).
# system malecns_flywireType / malecns_hemibrainType: the MaleCNS v1.0 per-cell annotation columns (CC BY, male-cns.janelia.org), majority value per type.
# tier: exact = alias identical to the MaleCNS name (1-to-1 / >=90% of annotated cells); alias = different name, 1-to-1 or >=90% of annotated cells;
#       fuzzy = n-to-1 / 1-to-n match, composite alias string, or majority < 90% (evidence gives the cardinality or the shares).
malecns_type,alias,system,tier,evidence
Am1,Am1,flywire_matsliah2024,exact,Sup_Table_7 row 2: matched as 1-to-1
Am1,Am1,flywire_schlegel2024,exact,Sup_Table_7 row 2: matched as 1-to-1
C2,C2,flywire_matsliah2024,exact,Sup_Table_7 row 4: matched as 1-to-1
C2,C2,flywire_schlegel2024,exact,Sup_Table_7 row 4: matched as 1-to-1
C3,C3,flywire_matsliah2024,exact,Sup_Table_7 row 5: matched as 1-to-1
C3,C3,flywire_schlegel2024,exact,Sup_Table_7 row 5: matched as 1-to-1
CT1,CT1,flywire_matsliah2024,exact,Sup_Table_7 row 6: matched as 1-to-1
CT1,CT1,flywire_schlegel2024,exact,Sup_Table_7 row 6: matched as 1-to-1
CT1,CT1,hemibrain,exact,Sup_Table_7 row 6: matched as 1-to-1
L1,L1,flywire_matsliah2024,exact,Sup_Table_7 row 7: matched as 1-to-1
L1,L1,flywire_schlegel2024,exact,Sup_Table_7 row 7: matched as 1-to-1
L2,L2,flywire_matsliah2024,exact,Sup_Table_7 row 8: matched as 1-to-1
L2,L2,flywire_schlegel2024,exact,Sup_Table_7 row 8: matched as 1-to-1
L3,L3,flywire_matsliah2024,exact,Sup_Table_7 row 9: matched as 1-to-1
L3,L3,flywire_schlegel2024,exact,Sup_Table_7 row 9: matched as 1-to-1
L4,L4,flywire_matsliah2024,exact,Sup_Table_7 row 10: matched as 1-to-1
L4,L4,flywire_schlegel2024,exact,Sup_Table_7 row 10: matched as 1-to-1
L5,L5,flywire_matsliah2024,exact,Sup_Table_7 row 11: matched as 1-to-1
L5,L5,flywire_schlegel2024,exact,Sup_Table_7 row 11: matched as 1-to-1
Lat3,5-HT-IR Tan,flywire_schlegel2024,fuzzy,Sup_Table_7 row 12: matched as 2-to-1
Lat4,5-HT-IR Tan,flywire_schlegel2024,fuzzy,Sup_Table_7 row 13: matched as 2-to-1
Lawf1,Lawf1,flywire_matsliah2024,exact,Sup_Table_7 row 14: matched as 1-to-1
Lawf1,Lawf1,flywire_schlegel2024,exact,Sup_Table_7 row 14: matched as 1-to-1
Lawf2,Lawf2,flywire_matsliah2024,exact,Sup_Table_7 row 15: matched as 1-to-1
Lawf2,Lawf2,flywire_schlegel2024,exact,Sup_Table_7 row 15: matched as 1-to-1
LOLP1,LLPt,flywire_matsliah2024,alias,Sup_Table_7 row 16: matched as 1-to-1
LOLP1,CB3822,flywire_schlegel2024,alias,Sup_Table_7 row 16: matched as 1-to-1
LT58,LT58,flywire_schlegel2024,exact,Sup_Table_7 row 17: matched as 1-to-1
LT58,LT58,hemibrain,exact,Sup_Table_7 row 17: matched as 1-to-1
LT88,cM10,flywire_schlegel2024,alias,Sup_Table_7 row 18: matched as 1-to-1
MeLo1,MLt1,flywire_matsliah2024,alias,Sup_Table_7 row 19: matched as 1-to-1
MeLo1,CB3833,flywire_schlegel2024,alias,Sup_Table_7 row 19: matched as 1-to-1
MeLo10,LMt2,flywire_matsliah2024,alias,Sup_Table_7 row 20: matched as 1-to-1
MeLo10,CB3834,flywire_schlegel2024,alias,Sup_Table_7 row 20: matched as 1-to-1
MeLo11,LMt4,flywire_matsliah2024,alias,Sup_Table_7 row 21: matched as 1-to-1
MeLo11,CB3820,flywire_schlegel2024,alias,Sup_Table_7 row 21: matched as 1-to-1
MeLo12,LMt1,flywire_matsliah2024,alias,Sup_Table_7 row 22: matched as 1-to-1
MeLo12,CB3820,flywire_schlegel2024,alias,Sup_Table_7 row 22: matched as 1-to-1
MeLo13,LMa1,flywire_matsliah2024,alias,Sup_Table_7 row 23: matched as 1-to-1
MeLo13,CB3820,flywire_schlegel2024,alias,Sup_Table_7 row 23: matched as 1-to-1
MeLo14,LMt3,flywire_matsliah2024,alias,Sup_Table_7 row 24: matched as 1-to-1
MeLo14,CB3821,flywire_schlegel2024,alias,Sup_Table_7 row 24: matched as 1-to-1
MeLo2,MLt3,flywire_matsliah2024,alias,Sup_Table_7 row 25: matched as 1-to-1
MeLo2,CB3836,flywire_schlegel2024,alias,Sup_Table_7 row 25: matched as 1-to-1
MeLo3a,MLt2,flywire_matsliah2024,alias,Sup_Table_7 row 26: matched as 1-to-1
MeLo3b,MLt5,flywire_matsliah2024,alias,Sup_Table_7 row 27: matched as 1-to-1
MeLo4,MLt6,flywire_matsliah2024,alias,"Sup_Table_7 row 28: matched as 1-to-1; note: A few FlyWire MLt6 appear to be Tm cells (720575940618739358, 720575940617918747,720575940624718775)"
MeLo5,MLt8,flywire_matsliah2024,alias,Sup_Table_7 row 29: matched as 1-to-1
MeLo6,MLt7,flywire_matsliah2024,alias,Sup_Table_7 row 30: matched as 1-to-1
MeLo7,MLt4,flywire_matsliah2024,alias,Sup_Table_7 row 31: matched as 1-to-1
MeLo8,LMa2,flywire_matsliah2024,alias,Sup_Table_7 row 32: matched as 1-to-1
MeLo8,CB3824,flywire_schlegel2024,alias,Sup_Table_7 row 32: matched as 1-to-1
MeLo9,LMa5,flywire_matsliah2024,alias,Sup_Table_7 row 33: matched as 1-to-1
MeLo9,CB3818,flywire_schlegel2024,alias,Sup_Table_7 row 33: matched as 1-to-1
T1,T1,flywire_matsliah2024,exact,Sup_Table_7 row 34: matched as 1-to-1
T1,T1,flywire_schlegel2024,exact,Sup_Table_7 row 34: matched as 1-to-1
T2,T2,flywire_matsliah2024,exact,Sup_Table_7 row 35: matched as 1-to-1
T2,T2,flywire_schlegel2024,exact,Sup_Table_7 row 35: matched as 1-to-1
T2a,T2a,flywire_matsliah2024,exact,Sup_Table_7 row 36: matched as 1-to-1
T2a,T2a,flywire_schlegel2024,exact,Sup_Table_7 row 36: matched as 1-to-1
T3,T3,flywire_matsliah2024,exact,Sup_Table_7 row 37: matched as 1-to-1
T3,T3,flywire_schlegel2024,exact,Sup_Table_7 row 37: matched as 1-to-1
T4a,T4a,flywire_matsliah2024,exact,Sup_Table_7 row 38: matched as 1-to-1
T4a,T4a,flywire_schlegel2024,exact,Sup_Table_7 row 38: matched as 1-to-1
T4b,T4b,flywire_matsliah2024,exact,Sup_Table_7 row 39: matched as 1-to-1
T4b,T4b,flywire_schlegel2024,exact,Sup_Table_7 row 39: matched as 1-to-1
T4c,T4c,flywire_matsliah2024,exact,Sup_Table_7 row 40: matched as 1-to-1
T4c,T4c,flywire_schlegel2024,exact,Sup_Table_7 row 40: matched as 1-to-1
T4d,T4d,flywire_matsliah2024,exact,Sup_Table_7 row 41: matched as 1-to-1
T4d,T4d,flywire_schlegel2024,exact,Sup_Table_7 row 41: matched as 1-to-1
T5a,T5a,flywire_matsliah2024,exact,Sup_Table_7 row 42: matched as 1-to-1
T5a,T5a,flywire_schlegel2024,exact,Sup_Table_7 row 42: matched as 1-to-1
T5b,T5b,flywire_matsliah2024,exact,Sup_Table_7 row 43: matched as 1-to-1
T5b,T5b,flywire_schlegel2024,exact,Sup_Table_7 row 43: matched as 1-to-1
T5c,T5c,flywire_matsliah2024,exact,Sup_Table_7 row 44: matched as 1-to-1
T5c,T5c,flywire_schlegel2024,exact,Sup_Table_7 row 44: matched as 1-to-1
T5d,T5d,flywire_matsliah2024,exact,Sup_Table_7 row 45: matched as 1-to-1
T5d,T5d,flywire_schlegel2024,exact,Sup_Table_7 row 45: matched as 1-to-1
Tlp11,Tlp5,flywire_matsliah2024,alias,Sup_Table_7 row 46: matched as 1-to-1
Tlp12,Tlp1,flywire_matsliah2024,alias,Sup_Table_7 row 47: matched as 1-to-1
Tlp12,Tlp1,flywire_schlegel2024,alias,Sup_Table_7 row 47: matched as 1-to-1
Tlp13,Tlp4,flywire_matsliah2024,alias,Sup_Table_7 row 48: matched as 1-to-1
Tlp13,Tlp4,flywire_schlegel2024,alias,Sup_Table_7 row 48: matched as 1-to-1
Tlp14,Tlp14,flywire_matsliah2024,exact,Sup_Table_7 row 49: matched as 1-to-1
Tlp14,Tlp6,flywire_schlegel2024,alias,Sup_Table_7 row 49: matched as 1-to-1
Tm1,Tm1,flywire_matsliah2024,exact,Sup_Table_7 row 50: matched as 1-to-1
Tm1,Tm1,flywire_schlegel2024,exact,Sup_Table_7 row 50: matched as 1-to-1
Tm12,Tm25,flywire_matsliah2024,alias,Sup_Table_7 row 51: matched as 1-to-1
Tm12,Tm12,flywire_schlegel2024,exact,Sup_Table_7 row 51: matched as 1-to-1
Tm16,Tm16,flywire_matsliah2024,exact,Sup_Table_7 row 52: matched as 1-to-1
Tm16,Tm16,flywire_schlegel2024,exact,Sup_Table_7 row 52: matched as 1-to-1
Tm2,Tm2,flywire_matsliah2024,exact,Sup_Table_7 row 53: matched as 1-to-1
Tm2,Tm2,flywire_schlegel2024,exact,Sup_Table_7 row 53: matched as 1-to-1
Tm20,Tm20,flywire_matsliah2024,exact,Sup_Table_7 row 54: matched as 1-to-1
Tm20,Tm20,flywire_schlegel2024,exact,Sup_Table_7 row 54: matched as 1-to-1
Tm29,Tm5d,flywire_matsliah2024,alias,Sup_Table_7 row 56: matched as 1-to-1
Tm29,CB3851,flywire_schlegel2024,alias,Sup_Table_7 row 56: matched as 1-to-1
