# type_map_central.csv -- source cluster/annotation -> MaleCNS v1.0 type, for the two central-brain single-cell atlases.
# sources: davie2018 = Davie et al. 2018 Cell 174:982 (GEO GSE107451, 57k-cell 10x metadata `annotation`; Table S2 = mmc2.xlsx);
#          fca2022 = Li et al. 2022 Science 375:eabk2432, Fly Cell Atlas head 10x stringent loom col_attrs/annotation (FBbt terms).
# tier: exact = source label (or its type token) is a MaleCNS type name; alias = documented synonym of one type; fuzzy = the label names a
#       family that MaleCNS splits into several types, selected by the name rule in `rule` (re:regex | list:A|B); class = the label is a cell
#       class, MaleCNS side selected by class/subclass/nt columns or a curated list (`rule`); unmatched = no evidenced correspondence.
# One row per (source_name, malecns_type). n_cells_malecns = MaleCNS cells of that type; n_cells_source = cells/nuclei in the source cluster.
# Sex: davie2018 is mixed-sex (male 27,854 / female 29,048), fca2022 head is mixed (male 47,409 / female 49,105 / mix 4,013); MaleCNS is male.
# Built by scratchpad/build_central_map.py (session 10 NT integration workflow, source key central).
source,source_name,malecns_type,tier,evidence,n_cells_malecns,n_cells_source,rule
davie2018,G-KC,KCg,fuzzy,"Table S2 res2 cluster 8 'G-KC' (Awasaki 2000; Crocker 2016); sNPF-high, trio-low (mean log1p cp10k sNPF 3.57, trio 0.10); rule ^KCg -> all gamma KC types",1,1642,re:^KCg
davie2018,G-KC,KCg-d,fuzzy,"Table S2 res2 cluster 8 'G-KC' (Awasaki 2000; Crocker 2016); sNPF-high, trio-low (mean log1p cp10k sNPF 3.57, trio 0.10); rule ^KCg -> all gamma KC types",206,1642,re:^KCg
davie2018,G-KC,KCg-m,fuzzy,"Table S2 res2 cluster 8 'G-KC' (Awasaki 2000; Crocker 2016); sNPF-high, trio-low (mean log1p cp10k sNPF 3.57, trio 0.10); rule ^KCg -> all gamma KC types",1342,1642,re:^KCg
davie2018,G-KC,KCg-s1,fuzzy,"Table S2 res2 cluster 8 'G-KC' (Awasaki 2000; Crocker 2016); sNPF-high, trio-low (mean log1p cp10k sNPF 3.57, trio 0.10); rule ^KCg -> all gamma KC types",2,1642,re:^KCg
davie2018,G-KC,KCg-s2,fuzzy,"Table S2 res2 cluster 8 'G-KC' (Awasaki 2000; Crocker 2016); sNPF-high, trio-low (mean log1p cp10k sNPF 3.57, trio 0.10); rule ^KCg -> all gamma KC types",2,1642,re:^KCg
davie2018,G-KC,KCg-s3,fuzzy,"Table S2 res2 cluster 8 'G-KC' (Awasaki 2000; Crocker 2016); sNPF-high, trio-low (mean log1p cp10k sNPF 3.57, trio 0.10); rule ^KCg -> all gamma KC types",2,1642,re:^KCg
davie2018,G-KC,KCg-s4,fuzzy,"Table S2 res2 cluster 8 'G-KC' (Awasaki 2000; Crocker 2016); sNPF-high, trio-low (mean log1p cp10k sNPF 3.57, trio 0.10); rule ^KCg -> all gamma KC types",2,1642,re:^KCg
davie2018,A/B-KC,KCab-c,fuzzy,"Table S2 res2 cluster 22 'a/b-KC' (Crocker 2016; Johard 2008); sNPF 2.93, trio 0.28; rule ^KCab",488,688,re:^KCab
davie2018,A/B-KC,KCab-m,fuzzy,"Table S2 res2 cluster 22 'a/b-KC' (Crocker 2016; Johard 2008); sNPF 2.93, trio 0.28; rule ^KCab",536,688,re:^KCab
davie2018,A/B-KC,KCab-p,fuzzy,"Table S2 res2 cluster 22 'a/b-KC' (Crocker 2016; Johard 2008); sNPF 2.93, trio 0.28; rule ^KCab",129,688,re:^KCab
davie2018,A/B-KC,KCab-s,fuzzy,"Table S2 res2 cluster 22 'a/b-KC' (Crocker 2016; Johard 2008); sNPF 2.93, trio 0.28; rule ^KCab",657,688,re:^KCab
davie2018,A/B*-KC,KCa'b'-ap1,fuzzy,"Table S2 res2 cluster 28 ""a'/b'-KC"" (Medioni 2014); trio 1.90, DAT 1.52 (alpha'/beta' KCs express DAT); rule ^KCa'b'",199,518,re:^KCa'b'
