# Davis et al. 2020 eLife 9:e50901 (GEO GSE116969; supp. file 1A) cell-type names -> MaleCNS v1.0 types. tier: exact = same name, no rename found; alias = documented 1:1 rename; fuzzy = one source pooled over several MaleCNS subtypes or a combo driver (rule in evidence); class = broad driver / whole-tissue reference matched to an NT class, a superclass (malecns_type gives the selector) or a named peptide population (Pdf, Ilp2, Crz, Dsk, NPF); unmatched = no MaleCNS counterpart. qc: pass = Davis QC-pass samples (tables 4 / 7b); suboptimal_only = Davis marked every sample of that driver 'suboptimal' (expression from table 3 sample means, no p_on). n_cells_malecns / out_syn_malecns from cache/neurons.parquet + W_post_pre.npz (|W| column sums; sign-0 presynaptic cells count 0). malecns_nt = majority model NT label; davis_nt_call / davis_nt_secondary = transmitter class(es) from the synthesis / transport genes (rule in the expression table header). Built by scripts/build_davis2020_tables.py (round 2 of the NT-integration workflow, docs/NT_INTEGRATION.md section 7).
source_name,malecns_type,tier,evidence,n_cells_malecns,qc,malecns_superclass,malecns_nt,out_syn_malecns,davis_nt_call,davis_nt_secondary
C2,C2,exact,"same type name in Davis 2020 (supp. file 1A, driver SS00778) and MaleCNS v1.0; MaleCNS flywireType = C2",1745,pass,ol_intrinsic,gaba,230044,gaba,
C3,C3,exact,"same type name in Davis 2020 (supp. file 1A, driver SS00688) and MaleCNS v1.0; MaleCNS flywireType = C3",1779,pass,ol_intrinsic,gaba,539977,gaba,
Dm1,Dm1,exact,"same type name in Davis 2020 (supp. file 1A, driver SS00309) and MaleCNS v1.0; MaleCNS flywireType = Dm1",80,pass,ol_intrinsic,glutamate,156748,glutamate,
Dm4,Dm4,exact,"same type name in Davis 2020 (supp. file 1A, driver SS02361;SS02592) and MaleCNS v1.0; MaleCNS flywireType = Dm4",99,pass,ol_intrinsic,glutamate,129535,glutamate,
Dm9,Dm9,exact,"same type name in Davis 2020 (supp. file 1A, driver SS02427) and MaleCNS v1.0; MaleCNS flywireType = Dm9",273,pass,ol_intrinsic,glutamate,247828,glutamate,
Dm10,Dm10,exact,"same type name in Davis 2020 (supp. file 1A, driver SS00327) and MaleCNS v1.0; MaleCNS flywireType = Dm10",626,pass,ol_intrinsic,gaba,141680,gaba,
Dm11,Dm11,exact,"same type name in Davis 2020 (supp. file 1A, driver SS03159) and MaleCNS v1.0; MaleCNS flywireType = Dm11",158,pass,ol_intrinsic,glutamate,46109,glutamate,
Dm12,Dm12,exact,"same type name in Davis 2020 (supp. file 1A, driver SS00384) and MaleCNS v1.0; MaleCNS flywireType = Dm12",276,pass,ol_intrinsic,glutamate,233792,glutamate,
L1,L1,exact,"same type name in Davis 2020 (supp. file 1A, driver SS00693;SS00691) and MaleCNS v1.0; MaleCNS flywireType = L1",1776,pass,ol_intrinsic,glutamate,589071,glutamate,
L2,L2,exact,"same type name in Davis 2020 (supp. file 1A, driver SS00801) and MaleCNS v1.0; MaleCNS flywireType = L2",1779,pass,ol_intrinsic,acetylcholine,1249022,acetylcholine,
L3,L3,exact,"same type name in Davis 2020 (supp. file 1A, driver SS00696) and MaleCNS v1.0; MaleCNS flywireType = L3",1772,pass,ol_intrinsic,acetylcholine,655375,acetylcholine,
L4,L4,exact,"same type name in Davis 2020 (supp. file 1A, driver SS00789) and MaleCNS v1.0; MaleCNS flywireType = L4",1769,pass,ol_intrinsic,acetylcholine,304873,acetylcholine,
L5,L5,exact,"same type name in Davis 2020 (supp. file 1A, driver SS00692) and MaleCNS v1.0; MaleCNS flywireType = L5",1787,pass,ol_intrinsic,acetylcholine,977136,acetylcholine,
Lai,Lai,exact,"same type name in Davis 2020 (supp. file 1A, driver SS55442) and MaleCNS v1.0; MaleCNS flywireType = Lai",84,pass,ol_intrinsic,glutamate,9169,glutamate,
Lawf1,Lawf1,exact,"same type name in Davis 2020 (supp. file 1A, driver SS00800;SS00689) and MaleCNS v1.0; MaleCNS flywireType = Lawf1",361,pass,ol_intrinsic,acetylcholine,40654,acetylcholine,
Lawf2,Lawf2,exact,"same type name in Davis 2020 (supp. file 1A, driver SS00698) and MaleCNS v1.0; MaleCNS flywireType = Lawf2",383,pass,ol_intrinsic,acetylcholine,9619,acetylcholine,
LC10a,LC10a,exact,"same type name in Davis 2020 (supp. file 1A, driver OL0019B) and MaleCNS v1.0; MaleCNS flywireType = LC10a",275,pass,visual_projection,acetylcholine,274834,acetylcholine,
