# Özel et al. 2021 Nature 589:88-95 (doi:10.1038/s41586-020-2879-3), adult optic-lobe scRNA-seq clusters
# (GEO GSE142787, Supplementary Table 1 annotations) -> MaleCNS v1.0 cell types (cache/neurons.parquet).
# Built by scripts/build_ozel2021_tables.py; provenance and coverage in docs/audits/receptor_sources_ozel2021.md.
# tier: exact = author annotation is the MaleCNS type name (unstarred); alias = documented renaming (none needed);
# fuzzy = author-starred (less confident) annotation, a 'likely' assignment, a subtype letter not shown to correspond,
# or a name-only match whose identity with the MaleCNS type is contested (Tm29); class = source cluster pools several
# MaleCNS types (incl. Pm1 -> Pm1/Pm5/Pm6 per Nern 2025 Sup_Table_7) or is a subdivision of one; unmatched = no evidenced type.
# flag: name_collision = Özel/FCA 'Tm29' vs MaleCNS Tm29 (= FlyWire Tm5d / CB3851, glutamate; FCA Tm29 cholinergic);
# minor_split = Schlegel Dm11 = MaleCNS Dm11 + Dm-DRA2 (33 cells, not added). Empty otherwise.
# source_name = the author's annotation (cluster number when unannotated); source_cluster = ST1 / GEO column id;
# n_cells_malecns = cells of malecns_type in MaleCNS; malecns_nt = the model's transmitter label (mode).
source_name,malecns_type,tier,flag,evidence,n_cells_malecns,source_cluster,malecns_superclass,malecns_nt
T1,T1,exact,,"ST1: 'Clear match to T1 transcriptome (Extended Data Fig. 3)' (Pearson correlation with the driver-line bulk transcriptome of Konstantinides 2018 / Davis 2020, best-vs-second gap >= 0.05); clusters 1+2 merged (OOBE 0.14)",1777,1,ol_intrinsic,histamine
PR,R1-R6,class,,ST1: 'Clear match to photoreceptors transcriptome; contains photoreceptor cells R1 to R8' -> all MaleCNS ol_sensory photoreceptor types; not resolved to R1-6 / R7 / R8 / pale / yellow,3377,3,ol_sensory,histamine
PR,R7R8_unclear,class,,ST1: 'Clear match to photoreceptors transcriptome; contains photoreceptor cells R1 to R8' -> all MaleCNS ol_sensory photoreceptor types; not resolved to R1-6 / R7 / R8 / pale / yellow,85,3,ol_sensory,histamine
PR,R7_unclear,class,,ST1: 'Clear match to photoreceptors transcriptome; contains photoreceptor cells R1 to R8' -> all MaleCNS ol_sensory photoreceptor types; not resolved to R1-6 / R7 / R8 / pale / yellow,404,3,ol_sensory,histamine
PR,R7d,class,,ST1: 'Clear match to photoreceptors transcriptome; contains photoreceptor cells R1 to R8' -> all MaleCNS ol_sensory photoreceptor types; not resolved to R1-6 / R7 / R8 / pale / yellow,82,3,ol_sensory,histamine
PR,R7p,class,,ST1: 'Clear match to photoreceptors transcriptome; contains photoreceptor cells R1 to R8' -> all MaleCNS ol_sensory photoreceptor types; not resolved to R1-6 / R7 / R8 / pale / yellow,332,3,ol_sensory,histamine
PR,R7y,class,,ST1: 'Clear match to photoreceptors transcriptome; contains photoreceptor cells R1 to R8' -> all MaleCNS ol_sensory photoreceptor types; not resolved to R1-6 / R7 / R8 / pale / yellow,482,3,ol_sensory,histamine
PR,R8_unclear,class,,ST1: 'Clear match to photoreceptors transcriptome; contains photoreceptor cells R1 to R8' -> all MaleCNS ol_sensory photoreceptor types; not resolved to R1-6 / R7 / R8 / pale / yellow,442,3,ol_sensory,histamine
PR,R8d,class,,ST1: 'Clear match to photoreceptors transcriptome; contains photoreceptor cells R1 to R8' -> all MaleCNS ol_sensory photoreceptor types; not resolved to R1-6 / R7 / R8 / pale / yellow,76,3,ol_sensory,histamine
PR,R8p,class,,ST1: 'Clear match to photoreceptors transcriptome; contains photoreceptor cells R1 to R8' -> all MaleCNS ol_sensory photoreceptor types; not resolved to R1-6 / R7 / R8 / pale / yellow,330,3,ol_sensory,histamine
PR,R8y,class,,ST1: 'Clear match to photoreceptors transcriptome; contains photoreceptor cells R1 to R8' -> all MaleCNS ol_sensory photoreceptor types; not resolved to R1-6 / R7 / R8 / pale / yellow,481,3,ol_sensory,histamine
4,,unmatched,,unannotated neuronal cluster (no type assigned by the authors),0,4,,
5,,unmatched,,unannotated neuronal cluster (no type assigned by the authors),0,5,,
T2,T2,exact,,"ST1: 'Clear match to T2 transcriptome (Extended Data Fig. 3)' (Pearson correlation with the driver-line bulk transcriptome of Konstantinides 2018 / Davis 2020, best-vs-second gap >= 0.05)",1630,6,ol_intrinsic,acetylcholine
T3,T3,exact,,"ST1: 'Clear match to T3 transcriptome (Extended Data Fig. 3)' (Pearson correlation with the driver-line bulk transcriptome of Konstantinides 2018 / Davis 2020, best-vs-second gap >= 0.05)",1940,7,ol_intrinsic,acetylcholine
Lawf2,Lawf2,exact,,"ST1: 'Clear match to Lawf2 transcriptome (Extended Data Fig. 3)' (Pearson correlation with the driver-line bulk transcriptome of Konstantinides 2018 / Davis 2020, best-vs-second gap >= 0.05)",383,8,ol_intrinsic,acetylcholine
