# MaleCNS v1.0 type map, source name -> MaleCNS type (same rows as type_aliases.csv, source-keyed). Built by scripts/build_type_map_typing.py from: MaleCNS v1.0 body-annotations (flywireType / hemibrainType / mancType / class; CC BY 4.0), Schlegel et al. 2024 Nature doi:10.1038/s41586-024-07686-5 Supplementary Data 1 and 5 (github.com/flyconnectome/flywire_annotations v3.0.0; CC BY 4.0), Nern et al. 2025 Nature doi:10.1038/s41586-025-08746-0 Supplementary Tables 1 and 7 (CC BY 4.0), the MaleCNS Cell Type Explorer synonyms (github.com/reiserlab/celltype-explorer-drosophila-male-cns, 2026-09-09), and Olivera 2026 Neuroinformatics doi:10.1007/s12021-026-09783-4. Tiers: exact | alias | fuzzy | class (rules in the script docstring and docs/audits/receptor_sources_typing.md). Systems: flywire, hemibrain, hemibrain_body, optic_inventory, manc, literature, malecns_class.
source_name,malecns_type,tier,evidence,n_cells_malecns,system
5-HTPLP01,5-HTPLP01,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 4 FlyWire cells); MaleCNS flywireType agrees",2,flywire
5-HTPLP01,5-HTPLP01,exact,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees",2,hemibrain
5-HTPMPD01,5-HTPMPD01,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
5-HTPMPD01,5-HTPMPD01,exact,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees",2,hemibrain
5-HTPMPV01,5-HTPMPV01,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
5-HTPMPV01,5-HTPMPV01,exact,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees",2,hemibrain
5-HTPMPV01,5-HTPMPV01,exact,"Nern 2025 Supplementary Table 1 row: 1 cells, group VCN, predicted NT unclear",2,optic_inventory
5-HTPMPV03,5-HTPMPV03,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
5-HTPMPV03,5-HTPMPV03,exact,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees",2,hemibrain
5-HTPMPV03,5-HTPMPV03,exact,"Nern 2025 Supplementary Table 1 row: 2 cells, group VCN, predicted NT 5HT",2,optic_inventory
LNd_a,5thsLNv_LNd6,alias,"MaleCNS v1.0 body-annotations flywireType='s-LNv_a,LNd_a' on 4/4 cells; MaleCNS 1 : FlyWire 2 (merged types)",4,flywire
s-LNv_a,5thsLNv_LNd6,alias,"MaleCNS v1.0 body-annotations flywireType='s-LNv_a,LNd_a' on 4/4 cells; MaleCNS 1 : FlyWire 2 (merged types)",4,flywire
s-LNv,5thsLNv_LNd6,alias,MaleCNS v1.0 body-annotations hemibrainType='s-LNv' on 4/4 cells,4,hemibrain
"fru-M-000139,fru-M-100193,fru-M-300008",5thsLNv_LNd6,alias,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)",4,literature
5thsLNv_LNd6,5thsLNv_LNd6,exact,"Nern 2025 Supplementary Table 1 row: 2 cells, group VPN, predicted NT ACh",4,optic_inventory
ADNM1,ADNM1 MN,alias,MaleCNS v1.0 body-annotations mancType='ADNM1' on 2/2 cells,2,manc
ADNM2,ADNM2 MN,alias,MaleCNS v1.0 body-annotations mancType='ADNM2' on 2/2 cells,2,manc
AL-AST1,AL-AST1,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",3,flywire
AL-AST1,AL-AST1,exact,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees",3,hemibrain
fru-F-300101,AL-AST1,alias,Schlegel 2024 SD1 v3.0.0 synonyms of FlyWire type AL-AST1,3,literature
fru-M-700042,AL-AST1,alias,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)",3,literature
ALON,AL-AST1,class,MaleCNS v1.0 body-annotations class on 3/3 cells,3,malecns_class
AL-MBDL1,AL-MBDL1,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
AL-MBDL1,AL-MBDL1,exact,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees",2,hemibrain
ALIN,AL-MBDL1,class,MaleCNS v1.0 body-annotations class on 2/2 cells,2,malecns_class
ALBN1,ALBN1,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
ALBN1,ALBN1,exact,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees",2,hemibrain
ALLN,ALBN1,class,MaleCNS v1.0 body-annotations class on 2/2 cells,2,malecns_class
ALIN1,ALIN1,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 4 FlyWire cells); MaleCNS flywireType agrees",4,flywire
ALIN1,ALIN1,exact,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees",4,hemibrain
fru-F-000130,ALIN1,alias,Schlegel 2024 SD1 v3.0.0 synonyms of FlyWire type ALIN1,4,literature
fru-M-300159,ALIN1,alias,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)",4,literature
ALIN,ALIN1,class,MaleCNS v1.0 body-annotations class on 4/4 cells,4,malecns_class
ALIN2,ALIN2,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
ALIN2,ALIN2,exact,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees",2,hemibrain
ALIN,ALIN2,class,MaleCNS v1.0 body-annotations class on 2/2 cells,2,malecns_class
ALIN3,ALIN3,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 4 FlyWire cells); MaleCNS flywireType agrees",4,flywire
ALIN3,ALIN3,exact,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees",4,hemibrain
ALIN,ALIN3,class,MaleCNS v1.0 body-annotations class on 4/4 cells,4,malecns_class
ALIN4,ALIN4,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
lLN7,ALIN4,alias,MaleCNS v1.0 body-annotations hemibrainType='lLN7' on 2/2 cells,2,hemibrain
ALIN,ALIN4,class,MaleCNS v1.0 body-annotations class on 2/2 cells,2,malecns_class
ALIN5,ALIN5,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
ALIN,ALIN5,class,MaleCNS v1.0 body-annotations class on 2/2 cells,2,malecns_class
ALIN6,ALIN6,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
ALIN,ALIN6,class,MaleCNS v1.0 body-annotations class on 2/2 cells,2,malecns_class
ALIN7,ALIN7,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
ALIN,ALIN7,class,MaleCNS v1.0 body-annotations class on 2/2 cells,2,malecns_class
ALIN8,ALIN8,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
ALIN,ALIN8,class,MaleCNS v1.0 body-annotations class on 2/2 cells,2,malecns_class
ALON1,ALON1,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
ALON,ALON1,class,MaleCNS v1.0 body-annotations class on 2/2 cells,2,malecns_class
ALON2,ALON2,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 2 FlyWire cells); MaleCNS flywireType agrees",2,flywire
ALON,ALON2,class,MaleCNS v1.0 body-annotations class on 2/2 cells,2,malecns_class
ALON3,ALON3,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 4 FlyWire cells); MaleCNS flywireType agrees",4,flywire
"fru-M-100011, fru-M-300292",ALON3,alias,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)",4,literature
ALON,ALON3,class,MaleCNS v1.0 body-annotations class on 4/4 cells,4,malecns_class
AMMC-A1,AMMC-A1,exact,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.0.0, 5 FlyWire cells); MaleCNS flywireType agrees",6,flywire
