mode,seed,row,speed_deg_s,mean_strength,weak_fraction,stationary_error_p95_deg,moving_error_p95_deg,first_slope_deg_s,reverse_slope_deg_s,mean_width_wedges,mean_peak_hz,mean_epg_hz,failed_gates
raw,10,0,-180.0,0.0,1.0,179.99999999999773,170.99999999999906,,,0.0,0.0,0.0,reference only
raw,10,1,-90.0,0.0,1.0,90.00000000000152,172.8450000000009,,,0.0,0.0,0.0,reference only
raw,10,2,-45.0,0.0,1.0,135.00000000000662,128.25000000000657,,,0.0,0.0,0.0,reference only
raw,10,3,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,reference only
raw,10,4,45.0,0.0,1.0,134.99999999999943,128.2499999999995,,,0.0,0.0,0.0,reference only
raw,10,5,90.0,0.0,1.0,90.00000000000112,172.8450000000006,,,0.0,0.0,0.0,reference only
raw,10,6,180.0,0.0,1.0,179.99999999999844,170.99999999999974,,,0.0,0.0,0.0,reference only
raw,10,7,90.0,0.0,1.0,90.0,172.84500000000048,,,0.0,0.0,0.0,reference only
raw,11,0,-180.0,0.0,1.0,179.99999999999773,170.99999999999906,,,0.0,0.0,0.0,reference only
raw,11,1,-90.0,0.0,1.0,90.00000000000152,172.8450000000009,,,0.0,0.0,0.0,reference only
raw,11,2,-45.0,0.0,1.0,135.00000000000662,128.25000000000657,,,0.0,0.0,0.0,reference only
raw,11,3,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,reference only
raw,11,4,45.0,0.0,1.0,134.99999999999943,128.2499999999995,,,0.0,0.0,0.0,reference only
raw,11,5,90.0,0.0,1.0,90.00000000000112,172.8450000000006,,,0.0,0.0,0.0,reference only
raw,11,6,180.0,0.0,1.0,179.99999999999844,170.99999999999974,,,0.0,0.0,0.0,reference only
raw,11,7,90.0,0.0,1.0,90.0,172.84500000000048,,,0.0,0.0,0.0,reference only
raw,12,0,-180.0,0.0,1.0,179.99999999999773,170.99999999999906,,,0.0,0.0,0.0,reference only
raw,12,1,-90.0,0.0,1.0,90.00000000000152,172.8450000000009,,,0.0,0.0,0.0,reference only
raw,12,2,-45.0,0.0,1.0,135.00000000000662,128.25000000000657,,,0.0,0.0,0.0,reference only
raw,12,3,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,reference only
raw,12,4,45.0,0.0,1.0,134.99999999999943,128.2499999999995,,,0.0,0.0,0.0,reference only
raw,12,5,90.0,0.0,1.0,90.00000000000112,172.8450000000006,,,0.0,0.0,0.0,reference only
raw,12,6,180.0,0.0,1.0,179.99999999999844,170.99999999999974,,,0.0,0.0,0.0,reference only
raw,12,7,90.0,0.0,1.0,90.0,172.84500000000048,,,0.0,0.0,0.0,reference only
raw,13,0,-180.0,0.0,1.0,179.99999999999773,170.99999999999906,,,0.0,0.0,0.0,reference only
raw,13,1,-90.0,0.0,1.0,90.00000000000152,172.8450000000009,,,0.0,0.0,0.0,reference only
raw,13,2,-45.0,0.0,1.0,135.00000000000662,128.25000000000657,,,0.0,0.0,0.0,reference only
raw,13,3,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,reference only
raw,13,4,45.0,0.0,1.0,134.99999999999943,128.2499999999995,,,0.0,0.0,0.0,reference only
raw,13,5,90.0,0.0,1.0,90.00000000000112,172.8450000000006,,,0.0,0.0,0.0,reference only
raw,13,6,180.0,0.0,1.0,179.99999999999844,170.99999999999974,,,0.0,0.0,0.0,reference only
raw,13,7,90.0,0.0,1.0,90.0,172.84500000000048,,,0.0,0.0,0.0,reference only
raw,14,0,-180.0,0.0,1.0,179.99999999999773,170.99999999999906,,,0.0,0.0,0.0,reference only
raw,14,1,-90.0,0.0,1.0,90.00000000000152,172.8450000000009,,,0.0,0.0,0.0,reference only
raw,14,2,-45.0,0.0,1.0,135.00000000000662,128.25000000000657,,,0.0,0.0,0.0,reference only
raw,14,3,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,reference only
raw,14,4,45.0,0.0,1.0,134.99999999999943,128.2499999999995,,,0.0,0.0,0.0,reference only
raw,14,5,90.0,0.0,1.0,90.00000000000112,172.8450000000006,,,0.0,0.0,0.0,reference only
raw,14,6,180.0,0.0,1.0,179.99999999999844,170.99999999999974,,,0.0,0.0,0.0,reference only
raw,14,7,90.0,0.0,1.0,90.0,172.84500000000048,,,0.0,0.0,0.0,reference only
raw,15,0,-180.0,0.0,1.0,179.99999999999773,170.99999999999906,,,0.0,0.0,0.0,reference only
raw,15,1,-90.0,0.0,1.0,90.00000000000152,172.8450000000009,,,0.0,0.0,0.0,reference only
raw,15,2,-45.0,0.0,1.0,135.00000000000662,128.25000000000657,,,0.0,0.0,0.0,reference only
raw,15,3,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,reference only
raw,15,4,45.0,0.0,1.0,134.99999999999943,128.2499999999995,,,0.0,0.0,0.0,reference only
raw,15,5,90.0,0.0,1.0,90.00000000000112,172.8450000000006,,,0.0,0.0,0.0,reference only
raw,15,6,180.0,0.0,1.0,179.99999999999844,170.99999999999974,,,0.0,0.0,0.0,reference only
raw,15,7,90.0,0.0,1.0,90.0,172.84500000000048,,,0.0,0.0,0.0,reference only
