arm,key,seeds,files,run_ids,values,mean,sd,n
S,survival_s,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,6
S,bump_hz_post,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","nan,nan,nan,nan,nan,nan",,,0
S,width_half_post,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","nan,nan,nan,nan,nan,nan",,,0
S,frac_confined_post,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,6
S,bump_follow_wedges_per_s,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","6.9645,2.2765,2.2605,-1.5170,2.8487,2.8004",2.605608579784566,2.6951967090500455,6
S,bump_follow_confined_frac,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,6
S,bump_follow_ideal_wedges_per_s,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","4.0000,4.0000,4.0000,4.0000,4.0000,4.0000",4.0,0.0,6
S,GLNO_LR_hz,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","-0.0018,-0.0014,0.0015,0.0003,0.0002,0.0010",-2.9101650094768654e-05,0.0013269025140414804,6
S,PEN_LR_hz,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","0.0322,0.0002,0.0393,0.0333,0.0001,-0.0041",0.016838074660578666,0.020026111526082375,6
S,DNa02_LR_hz,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,6
S,PS196b_LR_hz,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,6
S,AFF_LR_hz,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","nan,nan,nan,nan,nan,nan",,,0
S,GLNO_LR_hz_rest,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000",-5.442470684785856e-18,2.483120735067404e-16,6
S,PEN_LR_hz_rest,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","-0.0003,0.0000,0.0202,0.0000,0.0000,-0.0000",0.00331596735244343,0.008263983537717989,6
S,PEN_mean_post,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","0.0362,0.0203,0.0619,0.0474,0.0094,0.0229",0.03300792615239819,0.019357462720344165,6
S,GLNO_mean_post,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","0.0814,0.1115,0.3348,0.0881,0.0120,0.0465",0.1123716199460129,0.11439837401658662,6
S,PS196b_L_hz_turn,"0,1,2,3,4,5","S_s0.json,S_s1.json,S_s2.json,S_s3.json,S_s4.json,S_s5.json","S_s0.json#0,S_s1.json#0,S_s2.json#0,S_s3.json#0,S_s4.json#0,S_s5.json#0","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,6
