arm,key,n_seeds,n_exactly_equal,max_abs_diff,cx9_values,reference_values,cx9_device,reference_device
S,survival_s,6,6,0.0,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
S,bump_hz_post,6,6,0.0,"nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
S,width_half_post,6,6,0.0,"nan,nan,nan,nan,nan,nan","nan,nan,nan,nan,nan,nan","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
S,frac_confined_post,6,6,0.0,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
S,bump_follow_wedges_per_s,6,6,0.0,"6.9645,2.2765,2.2605,-1.5170,2.8487,2.8004","6.9645,2.2765,2.2605,-1.5170,2.8487,2.8004","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
S,bump_follow_confined_frac,6,6,0.0,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
S,bump_follow_ideal_wedges_per_s,6,6,0.0,"4.0000,4.0000,4.0000,4.0000,4.0000,4.0000","4.0000,4.0000,4.0000,4.0000,4.0000,4.0000","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
S,GLNO_LR_hz,6,6,0.0,"-0.0018,-0.0014,0.0015,0.0003,0.0002,0.0010","-0.0018,-0.0014,0.0015,0.0003,0.0002,0.0010","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
S,PEN_LR_hz,6,6,0.0,"0.0322,0.0002,0.0393,0.0333,0.0001,-0.0041","0.0322,0.0002,0.0393,0.0333,0.0001,-0.0041","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
S,DNa02_LR_hz,6,6,0.0,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
