pair,run,npz,device_name,backend,cuda_visible_devices,wall_s,survival_s,frac_confined_post,GLNO_LR_hz,PEN_LR_hz,PS196b_LR_hz,epg_in_mean_post,feeding_s,path_m,first_contact_s,end_energy,final_spike_counts,final_rate_mean_hz
cxS,cxS_r1,cxS_r1_gE1_gD1_s0.npz,NVIDIA B200,"{""cuda_graphs"": true, ""cuda_kernels"": false, ""cuda_sparse"": ""torch"", ""event_driven"": false, ""metal"": false}",,19.0,0.0,0.0,-0.0018265284597873688,0.03219839930534363,0.0,10.150867462158203,,,,,,
cxS,cxS_r2,cxS_r2_gE1_gD1_s0.npz,NVIDIA B200,"{""cuda_graphs"": true, ""cuda_kernels"": false, ""cuda_sparse"": ""torch"", ""event_driven"": false, ""metal"": false}",,19.9,0.0,0.0,-0.0018265284597873688,0.03219839930534363,0.0,10.150867462158203,,,,,,
plume_native,plume_native_r1,plume_native_r1.npz,NVIDIA B200,"{""cuda_graphs"": true, ""cuda_kernels"": true, ""cuda_sparse"": ""torch"", ""event_driven"": true, ""metal"": false}",5,128.5,,,,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1415, 0.1382, 0.1406, 0.1426, 0.1439, 0.1436]","[null, null, null, null, null, null]","[0.0455, 0.046, 0.0456, 0.0453, 0.0451, 0.0452]","[1075260.0, 1071182.0, 1104681.0, 1037737.0, 1105742.0, 1098109.0]","[0.5621, 0.6488, 0.7512, 0.6026, 0.4512, 0.7763]"
plume_native,plume_native_r2,plume_native_r2.npz,NVIDIA B200,"{""cuda_graphs"": true, ""cuda_kernels"": true, ""cuda_sparse"": ""torch"", ""event_driven"": true, ""metal"": false}",5,115.6,,,,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1375, 0.1405, 0.1412, 0.1415, 0.1438, 0.1455]","[null, null, null, null, null, null]","[0.0461, 0.0456, 0.0455, 0.0455, 0.0451, 0.0449]","[1082577.0, 1072301.0, 1106051.0, 1042875.0, 1073471.0, 1079602.0]","[0.6705, 0.5086, 1.0183, 0.7861, 0.3479, 0.5037]"
plume_torch,plume_torch_r1,plume_torch_r1.npz,NVIDIA B200,"{""cuda_graphs"": true, ""cuda_kernels"": false, ""cuda_sparse"": ""torch"", ""event_driven"": false, ""metal"": false}",6,122.1,,,,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1383, 0.138, 0.1382, 0.1398, 0.1414, 0.1426]","[null, null, null, null, null, null]","[0.0459, 0.046, 0.046, 0.0457, 0.0455, 0.0453]","[1092037.0, 1077844.0, 1090091.0, 1054224.0, 1092254.0, 1100648.0]","[0.6312, 0.8644, 0.3471, 0.6479, 0.8212, 0.7243]"
plume_torch,plume_torch_r2,plume_torch_r2.npz,NVIDIA B200,"{""cuda_graphs"": true, ""cuda_kernels"": false, ""cuda_sparse"": ""torch"", ""event_driven"": false, ""metal"": false}",6,126.8,,,,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1424, 0.1369, 0.142, 0.1382, 0.1418, 0.1448]","[null, null, null, null, null, null]","[0.0453, 0.0461, 0.0454, 0.046, 0.0454, 0.045]","[1069919.0, 1062898.0, 1072813.0, 1050029.0, 1106798.0, 1074240.0]","[0.659, 0.668, 0.971, 0.7719, 0.8279, 0.5351]"
raw_native,raw_native_r1,raw_native_r1.npz,NVIDIA B200,"{""cuda_graphs"": true, ""cuda_kernels"": true, ""cuda_sparse"": ""torch"", ""event_driven"": true, ""metal"": false}",7,77.3,,,,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0891, 0.0875, 0.0861, 0.0894, 0.0871, 0.0883]","[null, null, null, null, null, null]","[0.5533, 0.5535, 0.5538, 0.5533, 0.5536, 0.5534]","[1063088.0, 1041779.0, 1052490.0, 1042311.0, 1063936.0, 1037722.0]","[0.7099, 0.9151, 0.4029, 0.9037, 0.5939, 0.4584]"
raw_native,raw_native_r2,raw_native_r2.npz,NVIDIA B200,"{""cuda_graphs"": true, ""cuda_kernels"": true, ""cuda_sparse"": ""torch"", ""event_driven"": true, ""metal"": false}",7,116.1,,,,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0872, 0.0885, 0.0875, 0.0881, 0.0869, 0.0873]","[null, null, null, null, null, null]","[0.5536, 0.5534, 0.5535, 0.5535, 0.5536, 0.5536]","[1036277.0, 1062962.0, 1025802.0, 1033554.0, 1047146.0, 1032131.0]","[0.3303, 0.4629, 0.365, 0.3232, 0.3263, 0.4101]"
raw_torch,raw_torch_r1,raw_torch_r1.npz,NVIDIA B200,"{""cuda_graphs"": true, ""cuda_kernels"": false, ""cuda_sparse"": ""torch"", ""event_driven"": false, ""metal"": false}",4,42.5,,,,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0887, 0.088, 0.086, 0.089, 0.088, 0.0879]","[null, null, null, null, null, null]","[0.5534, 0.5535, 0.5538, 0.5533, 0.5535, 0.5535]","[1043694.0, 1065256.0, 1050876.0, 1041395.0, 1039686.0, 1064241.0]","[0.7866, 0.9794, 0.6489, 0.6651, 0.4855, 0.4447]"
raw_torch,raw_torch_r2,raw_torch_r2.npz,NVIDIA B200,"{""cuda_graphs"": true, ""cuda_kernels"": false, ""cuda_sparse"": ""torch"", ""event_driven"": false, ""metal"": false}",4,113.3,,,,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0879, 0.0877, 0.0851, 0.0888, 0.0871, 0.0879]","[null, null, null, null, null, null]","[0.5535, 0.5535, 0.5539, 0.5534, 0.5536, 0.5535]","[1036581.0, 1040864.0, 1036088.0, 1012218.0, 1053326.0, 1038856.0]","[0.3182, 0.3778, 0.6569, 0.3273, 0.4051, 0.5757]"
