arm,starts,run,brain_seed,row,env_seed,start_x,start_y,heading_deg,feeding_s,first_contact_s,path_m,mean_abs_dna_lr_hz,mean_abs_turn,mean_abs_steer_input_hz,mean_abs_integral_hz,mean_abs_yaw_rad_s,min_fruit_distance_m,end_energy,zero_energy_s
full,shipped,0,31,0,0,-0.5,0.05,5.0,14.999999999999725,20.68,0.5283777567843229,1.0218853934824381,0.034962678884524694,5.293167478094499,3.007573217510556,0.099229846628328,0.008944062255068302,0.8369135437656652,17.98
full,shipped,0,31,1,1,-0.5,0.05,90.0,14.999999999999725,23.05,0.6409529095377746,1.5541614871305658,0.04434772393084131,7.06251051949958,3.795252045279679,0.14265014699453615,-0.017254048285338195,0.8490269385662358,17.98
full,shipped,0,31,2,2,-0.5,0.05,-90.0,14.999999999999725,30.02,0.5890073554817181,1.7763537156744944,0.052834234418545144,9.021609410357971,5.277425343665915,0.15772106021172533,0.004782753217668037,0.8805517860858353,18.06
full,shipped,0,31,3,3,-0.5,0.05,185.0,14.999999999999725,32.67,0.6014056292694068,1.990549307332151,0.06210942468576832,10.269209499085942,6.060062027607734,0.1746655888956686,0.011190056203298201,0.8931611517283515,18.15
full,shipped,0,31,4,4,-0.5,0.05,5.0,14.999999999999725,19.69,0.5231166727362964,1.0892166896612956,0.03337507600721437,5.304612137625615,3.163967797588557,0.09979613745359157,0.00991855090169664,0.8316769304803335,18.0
full,shipped,0,31,5,5,-0.5,0.05,5.0,14.999999999999725,21.44,0.6212608084498534,1.4609156949961415,0.04123300243639581,6.614667608737945,3.7464483163598925,0.13237937358886914,0.004430253121650445,0.8408036611474277,17.89
goal-only,shipped,0,31,0,0,-0.5,0.05,5.0,14.999999999999725,36.63,0.6295174157707183,1.1261224746274183,0.09366848290538958,7.4934785728467,0.0,0.1026580938237574,0.0026650507158392477,0.9113408872581362,18.09
goal-only,shipped,0,31,1,1,-0.5,0.05,90.0,14.999999999999725,23.2,0.6718609452501179,0.6231949990388709,0.049017296608459826,3.921383702919508,0.0,0.05854881937333763,-0.0009879925617366885,0.8489915676748143,18.22
goal-only,shipped,0,31,2,2,-0.5,0.05,-90.0,14.999999999999725,35.61,0.6307526217515366,0.6250155594480157,0.05685535446604869,4.548428338884841,0.0,0.06316565494094542,0.008662086806702704,0.9065792666496855,18.27
goal-only,shipped,0,31,3,3,-0.5,0.05,185.0,0.0,,1.443488886978572,0.15837439537009868,0.023389119619969277,1.8711295720686516,0.0,0.031006346113638172,0.2265837912900864,0.0,19.46
goal-only,shipped,0,31,4,4,-0.5,0.05,5.0,14.879999999999727,16.87,1.316267632753784,0.3274561819555052,0.026746189987752588,2.139695193370183,0.0,0.04624523059336946,0.013326033619644156,0.8195303046780066,
goal-only,shipped,0,31,5,5,-0.5,0.05,5.0,14.999999999999725,34.56,1.5676877558754336,1.0576753204092555,0.0879511804515884,7.036094397182266,0.0,0.10250558640582787,0.003582842506107341,0.9037546540517786,18.17
feedback-only,shipped,0,31,0,0,-0.5,0.05,5.0,0.0,,0.9089894796454547,1.7299491156961366,0.06011537566499707,11.416681579127907,7.433236697058504,0.16882404625629385,0.04965618254434754,0.0,18.07
feedback-only,shipped,0,31,1,1,-0.5,0.05,90.0,0.0,,0.9057722109473172,2.151829577397776,0.06709877918032968,13.39090329627196,8.92717884885768,0.18871470072730517,0.023715465859113487,0.0,17.94
feedback-only,shipped,0,31,2,2,-0.5,0.05,-90.0,0.0,,0.9049631100723105,2.039317552735449,0.06397770619515844,12.283925998608272,8.158186373288432,0.17894581028548703,0.03547658589109358,0.0,18.0
feedback-only,shipped,0,31,3,3,-0.5,0.05,185.0,0.0,,0.8961541561595385,2.3300502685853015,0.07063860302883161,13.006769857468704,8.458542436364418,0.19775134538315253,0.018899937308009228,0.0,18.01
feedback-only,shipped,0,31,4,4,-0.5,0.05,5.0,0.0,,0.9008917577950075,1.7414135580740377,0.05951670291641979,11.192251121674975,7.519095472316257,0.16120781815303295,0.04793056205420137,0.0,18.16
feedback-only,shipped,0,31,5,5,-0.5,0.05,5.0,0.0,,0.8988888172158285,1.7496350836078747,0.06250579572205121,12.299310164898634,8.40826547163694,0.1578984241381061,0.0495956075362047,0.0,18.15
full,shipped,1,32,0,0,-0.5,0.05,5.0,14.999999999999725,18.46,0.7342951757352076,1.525772001642476,0.038174680557567627,6.193295645614465,3.267324919098367,0.13809895155385746,0.0011556194820934416,0.8270705220420154,18.07
