arm,starts,run,brain_seed,file,device_name,gpu,wall_s,variant,integral_gain,walking_goal,fed_rows,fed_fraction,mean_first_contact_s,mean_abs_dna_lr_hz,mean_path_m,mean_abs_turn,mean_abs_steer_input_hz,mean_abs_integral_hz,mean_abs_yaw_rad_s,checks
full,shipped,0,31,full_shipped_r0.json,NVIDIA B200,4,382.6,full,5.0,True,6.0,1.0,24.59166666666667,1.4821803813795142,0.5840201887098954,0.044810356727214944,7.260962775566926,4.175121458002056,0.13440702562878648,
goal-only,shipped,0,31,goal-only_shipped_r0.json,NVIDIA B200,5,423.8,goal-only,0.0,True,5.0,0.8333333333333334,29.374000000000002,0.6529731551415274,1.0432625430633604,0.056271270673201396,4.501701629545359,0.0,0.06735495520847933,
feedback-only,shipped,0,31,feedback-only_shipped_r0.json,NVIDIA B200,6,538.8,feedback-only,5.0,False,0.0,0.0,,1.9570325260160961,0.9026099219725762,0.06397549378463131,12.264973669675074,8.150750883253705,0.17555702415722962,
full,shipped,1,32,full_shipped_r1.json,NVIDIA B200,7,513.4,full,5.0,True,6.0,1.0,28.708333333333332,1.9607742577530487,0.7420677021752659,0.056666470318141364,9.147558284057306,5.115436737820402,0.17598474378037288,
goal-only,shipped,1,32,goal-only_shipped_r1.json,NVIDIA B200,4,421.0,goal-only,0.0,True,4.0,0.6666666666666666,27.585,0.4610352672427555,1.046654795255934,0.043628152653877296,3.4902522103115916,0.0,0.053838315092654354,
feedback-only,shipped,1,32,feedback-only_shipped_r1.json,NVIDIA B200,5,448.3,feedback-only,5.0,False,0.0,0.0,,2.06331186917426,0.915493969758073,0.06354717049914951,12.352225396444814,8.137513541825271,0.18291884988937154,
full,shipped,2,33,full_shipped_r2.json,NVIDIA B200,6,462.9,full,5.0,True,6.0,1.0,27.21333333333334,1.7139176596374386,0.6349119972823317,0.05257103015218995,8.340819028945019,4.681378795421138,0.15666736253986976,
goal-only,shipped,2,33,goal-only_shipped_r2.json,NVIDIA B200,7,532.2,goal-only,0.0,True,4.0,0.6666666666666666,37.9175,0.7597268162605051,0.9569921810526306,0.06624989952340855,5.299991936842793,0.0,0.07623635591575494,
feedback-only,shipped,2,33,feedback-only_shipped_r2.json,NVIDIA B200,4,538.0,feedback-only,5.0,False,0.0,0.0,,1.8395837784617912,1.02575425782869,0.057792044850903786,11.627840244509281,7.790892407000777,0.1670175562813262,
full,shipped,3,34,full_shipped_r3.json,NVIDIA B200,5,421.5,full,5.0,True,6.0,1.0,29.586666666666662,1.8352200047186533,0.6703206694954656,0.056052212350275826,8.948122527536212,5.032078101038157,0.16681018179960538,
