arm,run,brain_seed,file,device_name,gpu,cache_md5,hops,escape,voluntary,fly_s,meals,path_m,gf_walk_median_hz,rows_gf_at_threshold,wall_s,checks
raw,0,0,room_raw_r0.json,NVIDIA B200,4,ef23cc27bea13be7f6a96f3c04fd3737,13,4,9,4800.0,4,3.602419617321708,31.027466773986816,4,2334.2883292390034,
instrumented,0,0,room_instrumented_r0.json,NVIDIA B200,5,7a10d93ba2086f2c76bcdabdca79b4ec,18,5,13,4800.0,1,3.7054099205973916,30.14659869670868,3,2400.3643049011007,
raw,1,1,room_raw_r1.json,NVIDIA B200,6,ef23cc27bea13be7f6a96f3c04fd3737,18,8,10,4800.0,7,3.6098481887095315,32.63596057891846,7,2279.4105094280094,
instrumented,1,1,room_instrumented_r1.json,NVIDIA B200,7,7a10d93ba2086f2c76bcdabdca79b4ec,16,7,9,4800.0,1,3.6954361434462415,30.79933762550354,6,2390.0458512883633,
raw,2,2,room_raw_r2.json,NVIDIA B200,4,ef23cc27bea13be7f6a96f3c04fd3737,17,6,11,4800.0,1,3.7033521756265406,31.040008544921875,5,2343.436711148359,
instrumented,2,2,room_instrumented_r2.json,NVIDIA B200,5,7a10d93ba2086f2c76bcdabdca79b4ec,12,5,7,4800.0,2,3.662852618616151,31.06994280219078,3,2389.907826389186,
raw,3,3,room_raw_r3.json,NVIDIA B200,6,ef23cc27bea13be7f6a96f3c04fd3737,22,10,12,4800.0,6,3.6782543782019395,32.115694999694824,7,2250.9035005392507,
instrumented,3,3,room_instrumented_r3.json,NVIDIA B200,7,7a10d93ba2086f2c76bcdabdca79b4ec,17,7,10,4800.0,2,3.7083258042500225,31.509700775146484,5,2392.8621950317174,
raw,4,4,room_raw_r4.json,NVIDIA B200,4,ef23cc27bea13be7f6a96f3c04fd3737,18,7,11,4800.0,7,3.6169881183234143,31.363893270492554,7,2336.303450014442,
instrumented,4,4,room_instrumented_r4.json,NVIDIA B200,5,7a10d93ba2086f2c76bcdabdca79b4ec,17,7,10,4800.0,4,3.6347714332014354,30.804136753082275,6,2348.608551151119,
raw,5,5,room_raw_r5.json,NVIDIA B200,6,ef23cc27bea13be7f6a96f3c04fd3737,13,4,9,4800.0,0,3.6929818506718437,31.47540843486786,4,2279.9273705026135,
instrumented,5,5,room_instrumented_r5.json,NVIDIA B200,7,7a10d93ba2086f2c76bcdabdca79b4ec,30,11,19,4800.0,4,3.695956170834389,33.367876291275024,9,2353.7738149017096,
