check,seed,preset,value,status,criterion
rest.spikes_per_step,0,raw,0.0,PASS,< 5
rest.spikes_per_step,1,raw,0.0,PASS,< 5
rest.spikes_per_step,2,raw,0.0,PASS,< 5
rest.spikes_per_step,0,instrumented,0.0,PASS,< 5
rest.spikes_per_step,1,instrumented,0.0,PASS,< 5
rest.spikes_per_step,2,instrumented,0.0,PASS,< 5
taste.MN9_hz,0,raw,10.93417739868164,PASS,> 2
taste.MN9_hz,1,raw,1.6904562711715698,FAIL,> 2
taste.MN9_hz,2,raw,3.1295931339263916,PASS,> 2
taste.MN9_hz,0,instrumented,10.93417739868164,PASS,> 2
taste.MN9_hz,1,instrumented,1.6904562711715698,FAIL,> 2
taste.MN9_hz,2,instrumented,3.1295931339263916,PASS,> 2
smell.PN_hz,0,raw,7.861156463623047,PASS,< 100
smell.PN_hz,1,raw,11.1984224319458,PASS,< 100
smell.PN_hz,2,raw,11.604925155639648,PASS,< 100
smell.PN_hz,0,instrumented,7.861156463623047,PASS,< 100
smell.PN_hz,1,instrumented,11.1984224319458,PASS,< 100
smell.PN_hz,2,instrumented,11.604925155639648,PASS,< 100
smell.KC_active,0,raw,816.0,PASS,> 0
smell.KC_active,1,raw,1345.0,PASS,> 0
smell.KC_active,2,raw,1518.0,PASS,> 0
smell.KC_active,0,instrumented,816.0,PASS,> 0
smell.KC_active,1,instrumented,1345.0,PASS,> 0
smell.KC_active,2,instrumented,1518.0,PASS,> 0
dn.DNa02_L_leg_asym_hz,0,raw,2.580631911754608,PASS,> 0.3
dn.DNa02_L_leg_asym_hz,1,raw,2.4001746475696564,PASS,> 0.3
dn.DNa02_L_leg_asym_hz,2,raw,2.3850228041410446,PASS,> 0.3
dn.DNa02_L_leg_asym_hz,0,instrumented,2.580631911754608,PASS,> 0.3
dn.DNa02_L_leg_asym_hz,1,instrumented,2.4001746475696564,PASS,> 0.3
dn.DNa02_L_leg_asym_hz,2,instrumented,2.3850228041410446,PASS,> 0.3
dn.MDN_top_hz,0,raw,153.0,PASS,< 250
dn.MDN_top_hz,1,raw,172.0,PASS,< 250
dn.MDN_top_hz,2,raw,182.0,PASS,< 250
dn.MDN_top_hz,0,instrumented,153.0,PASS,< 250
dn.MDN_top_hz,1,instrumented,172.0,PASS,< 250
dn.MDN_top_hz,2,instrumented,182.0,PASS,< 250
dn.DNp09_top_hz,0,raw,152.0,PASS,< 250
dn.DNp09_top_hz,1,raw,157.0,PASS,< 250
dn.DNp09_top_hz,2,raw,122.0,PASS,< 250
dn.DNp09_top_hz,0,instrumented,152.0,PASS,< 250
dn.DNp09_top_hz,1,instrumented,157.0,PASS,< 250
dn.DNp09_top_hz,2,instrumented,122.0,PASS,< 250
walk.GF_max_hz,0,raw,4.629162311553955,PASS,< 38
walk.GF_max_hz,1,raw,4.962645053863525,PASS,< 38
walk.GF_max_hz,2,raw,4.60405969619751,PASS,< 38
walk.GF_max_hz,0,instrumented,4.629162311553955,PASS,< 38
walk.GF_max_hz,1,instrumented,4.962645053863525,PASS,< 38
walk.GF_max_hz,2,instrumented,4.60405969619751,PASS,< 38
walk.power_max_hz,0,raw,48.48052978515625,PASS,notnone 0
walk.power_max_hz,1,raw,53.558746337890625,PASS,notnone 0
walk.power_max_hz,2,raw,56.14637756347656,PASS,notnone 0
walk.power_max_hz,0,instrumented,48.48052978515625,PASS,notnone 0
walk.power_max_hz,1,instrumented,53.558746337890625,PASS,notnone 0
