check,criterion,raw_statuses,instrumented_statuses,status_changed_pooled,changed_draws,raw_unstable,declared_gap_row,rejecting,raw_values,instrumented_values,diff,z,p,verdict
rest.spikes_per_step,< 5,PASS/PASS/PASS,PASS/PASS/PASS,False,,False,False,False,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,,1.0,underpowered
taste.MN9_hz,> 2,PASS/FAIL/PASS,PASS/FAIL/PASS,False,,True,False,False,"[10.93417739868164, 1.6904562711715698, 3.1295931339263916]","[10.93417739868164, 1.6904562711715698, 3.1295931339263916]",0.0,0.0,1.0,underpowered
smell.PN_hz,< 100,PASS/PASS/PASS,PASS/PASS/PASS,False,,False,False,False,"[7.861156463623047, 11.1984224319458, 11.604925155639648]","[7.861156463623047, 11.1984224319458, 11.604925155639648]",0.0,0.0,1.0,underpowered
smell.KC_active,> 0,PASS/PASS/PASS,PASS/PASS/PASS,False,,False,False,False,"[816, 1345, 1518]","[816, 1345, 1518]",0.0,0.0,1.0,underpowered
dn.DNa02_L_leg_asym_hz,> 0.3,PASS/PASS/PASS,PASS/PASS/PASS,False,,False,False,False,"[2.580631911754608, 2.4001746475696564, 2.3850228041410446]","[2.580631911754608, 2.4001746475696564, 2.3850228041410446]",0.0,0.0,1.0,underpowered
dn.MDN_top_hz,< 250,PASS/PASS/PASS,PASS/PASS/PASS,False,,False,False,False,"[153.0, 172.0, 182.0]","[153.0, 172.0, 182.0]",0.0,0.0,1.0,underpowered
dn.DNp09_top_hz,< 250,PASS/PASS/PASS,PASS/PASS/PASS,False,,False,False,False,"[152.0, 157.0, 122.0]","[152.0, 157.0, 122.0]",0.0,0.0,1.0,underpowered
walk.GF_max_hz,< 38,PASS/PASS/PASS,PASS/PASS/PASS,False,,False,False,False,"[4.629162311553955, 4.962645053863525, 4.60405969619751]","[4.629162311553955, 4.962645053863525, 4.60405969619751]",0.0,0.0,1.0,underpowered
walk.power_max_hz,notnone 0,PASS/PASS/PASS,PASS/PASS/PASS,False,,False,False,False,"[48.48052978515625, 53.558746337890625, 56.14637756347656]","[48.48052978515625, 53.558746337890625, 55.93785858154297]",-0.06950632731120265,-0.017823176107537746,1.0,underpowered
walk.power_sustained_hz,< 50,PASS/PASS/PASS,PASS/PASS/PASS,False,,False,False,False,"[20.109053071339925, 27.893007119496662, 25.538417355219526]","[20.109053071339925, 27.893007119496662, 25.39189877510071]",-0.048839526706270675,-0.01223462893234569,1.0,underpowered
loom.GF_peak_hz,>= 20,PASS/PASS/PASS,PASS/PASS/PASS,False,,False,False,False,"[47.227882385253906, 51.30039596557617, 52.87992858886719]","[47.21619415283203, 51.44266128540039, 45.49848937988281]",-2.4169540405273438,-0.828797839981471,0.4,underpowered
loom.escape_cm,notnone 0,PASS/PASS/PASS,PASS/PASS/PASS,False,,False,False,False,"[3.5000000000000004, 3.5000000000000004, 3.5000000000000004]","[3.5000000000000004, 3.5000000000000004, 3.5000000000000004]",0.0,,1.0,underpowered
rotate.DNp20_flip_hz,< -2,PASS/PASS/PASS,PASS/PASS/PASS,False,,False,False,False,"[-39.54785623351734, -36.206922117869055, -25.172699089845022]","[-39.33175019025803, -36.15009943048159, -38.910175938407576]",-4.488182705971923,-0.5966054438839153,1.0,underpowered
motion.min_dsi,>= 0.1,PASS/PASS/PASS,PASS/PASS/PASS,False,,False,False,False,"[0.24109649799889912, 0.24595003290116416, 0.2410964184151673]","[0.2406372734722508, 0.2484345559672318, 0.24063731826711676]",0.0005220661304562446,0.18630496484650028,0.7,underpowered
motion.correct_directions,== 8,PASS/PASS/PASS,PASS/PASS/PASS,False,,False,False,False,"[8, 8, 8]","[8, 8, 8]",0.0,,1.0,underpowered
loom_escape.GF_peak_hz,>= 33,PASS/PASS/PASS,PASS/PASS/PASS,False,,False,False,False,"[48.09242129325867, 55.250701904296875, 48.802336275577545]","[49.87672996520996, 42.08183479309082, 51.385653495788574]",-2.9337470730145796,-0.7438683564465917,1.0,underpowered
loom_escape.escapes,>= 1,PASS/PASS/PASS,PASS/PASS/PASS,False,,False,False,False,"[1, 1, 1]","[1, 1, 1]",0.0,,1.0,underpowered
walk_gf.p99_hz,< 38,PASS/PASS/PASS,PASS/PASS/PASS,False,,False,False,False,"[20.099010054972023, 22.53682991348207, 13.54603012368094]","[20.243713545799253, 16.301398207095282, 25.870449886322017]",2.077897182360509,0.4468871797961198,0.7,underpowered
rotation.group_flip_hz,<= -3,PASS/PASS/PASS,PASS/PASS/PASS,False,,False,False,False,"[-9.483118057250977, -10.428285121917725, -10.90660285949707]","[-9.252175331115723, -9.802029609680176, -9.688612937927246]",0.6917293866475429,0.9549140971910267,0.4,underpowered
object.LC10a_flip_hz,abs>= 1.0,KNOWN GAP/KNOWN GAP/KNOWN GAP,KNOWN GAP/KNOWN GAP/KNOWN GAP,False,,False,False,False,"[0.0007251957431435585, -0.00979826645925641, 0.009177702013403177]","[-0.0018860669806599617, 0.02093661273829639, 0.009744571521878242]",0.009563495327408114,1.005963640988334,0.4,underpowered
bitter.calibrated_sugar_MN9_hz,> 2,PASS/PASS/PASS,PASS/PASS/PASS,False,,False,False,False,"[5.518443587422371, 4.287665969133377, 3.9266281858086587]","[5.518443587422371, 4.287665969133377, 3.9266281858086587]",0.0,0.0,1.0,underpowered
bitter.calibrated_sugar_bitter_MN9_hz,< 1,PASS/PASS/PASS,PASS/PASS/PASS,False,,False,False,False,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,,1.0,underpowered
bitter.shiu_sugar_MN9_hz,> 50,PASS/PASS/PASS,PASS/PASS/PASS,False,,False,False,False,"[139.89849777221679, 138.9340362548828, 131.5232421875]","[140.25978050231933, 149.31423721313476, 132.24853553771973]",3.822259012858069,0.8341019771576121,0.4,underpowered
bitter.shiu_sugar_bitter_MN9_hz,< 10,PASS/PASS/PASS,PASS/PASS/PASS,False,,False,False,False,"[0.8178397744894028, 0.0, 0.0]","[1.3755176492966712, 0.0, 0.0]",0.18589262493575615,0.3936901593494789,1.0,underpowered
wind.DNp18_flip_hz,>= 15,PASS/PASS/PASS,PASS/PASS/PASS,False,,False,False,False,"[44.75843906402588, 46.960357666015625, 46.86198616027832]","[45.839009284973145, 45.86117172241211, 46.84571933746338]",-0.01162751515706617,-0.009347976144019606,0.7,underpowered
wind.DNp33_flip_hz,<= -15,PASS/PASS/PASS,PASS/PASS/PASS,False,,False,False,False,"[-50.272268295288086, -50.672630310058594, -50.320072174072266]","[-49.169118881225586, -49.23678398132324, -50.01917839050293]",0.9466298421223982,4.329239276108972,0.1,underpowered
